Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.0,18673000.0,143227000.0,143227000.0,161000000.0,900000.0,,161900000.0,161000000.0,0.0,0.0,17773000.0,161000000.0,-7700000.0,,,,,161000000.0,161000000.0,0.0,161000000.0,161000000.0,161000000.0,0.0,161000000.0,10073000.0,143227000.0,-143227000.0,0.0,0.0,7700000.0,-7700000.0,4200000.0,900000.0,900000.0,2700000.0,2700000.0,,,0.0,0.0,2024-03-31
0.0,0.0,8142000.0,104958000.0,104958000.0,112200000.0,800000.0,,113100000.0,112300000.0,-100000.0,100000.0,7242000.0,112200000.0,-600000.0,207777778.0,207777778.0,0.54,0.54,112200000.0,112200000.0,0.0,112200000.0,112200000.0,112200000.0,0.0,112200000.0,6842000.0,104958000.0,-104958000.0,-100000.0,100000.0,600000.0,-600000.0,4300000.0,800000.0,800000.0,3800000.0,3800000.0,,,0.0,0.0,2023-12-31
0.0,0.0,-7900000.0,0.0,0.0,-9000000.0,1100000.0,,-7900000.0,-9000000.0,0.0,0.0,-9000000.0,-9000000.0,11100000.0,225000000.0,225000000.0,-0.04,-0.04,-9000000.0,-9000000.0,0.0,-9000000.0,-9000000.0,-9000000.0,0.0,-9000000.0,2100000.0,0.0,,0.0,0.0,-11100000.0,11100000.0,4000000.0,1100000.0,1100000.0,3200000.0,3200000.0,,,0.0,0.0,2023-09-30
0.0,0.115044,-9800000.0,0.0,0.0,-10000000.0,1300000.0,,-9800000.0,-11100000.0,-200000.0,200000.0,-10000000.0,-10000000.0,13000000.0,200000000.0,200000000.0,-0.05,-0.05,-10000000.0,-10000000.0,0.0,-10000000.0,-10000000.0,-10000000.0,-1300000.0,-11300000.0,1900000.0,0.0,,-200000.0,200000.0,-13000000.0,13000000.0,4600000.0,1300000.0,1300000.0,3500000.0,3500000.0,,,0.0,0.0,2023-06-30
-851.351351,0.007601,3928000.0,-112000.0,-112000.0,2350000.0,1274000.0,,3816000.0,2542000.0,3589000.0,174000.0,2461148.648649,2350000.0,-17958000.0,,,,,2350000.0,2350000.0,0.0,2350000.0,2350000.0,2350000.0,18000.0,2368000.0,-19067000.0,-112000.0,0.0,3589000.0,174000.0,17958000.0,-17958000.0,-27701000.0,1274000.0,1274000.0,3908000.0,3814000.0,,,0.0,0.0,2023-03-31
,,,,,,,0.0,,,,,,,,191666667.0,191666667.0,-0.06,-0.06,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,2022-12-31
0.0,0.0,65268000.0,16432000.0,16432000.0,80800000.0,900000.0,,81700000.0,80800000.0,0.0,0.0,64368000.0,80800000.0,2300000.0,207179487.0,207179487.0,0.39,0.39,80800000.0,80800000.0,0.0,80800000.0,80800000.0,80800000.0,0.0,80800000.0,66668000.0,16432000.0,-16432000.0,0.0,0.0,-2300000.0,2300000.0,4100000.0,900000.0,900000.0,2700000.0,2700000.0,,,0.0,0.0,2024-06-30 00:00:00
