Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Finished Goods,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
213374246.0,213374246.0,,999000000.0,11501800000.0,12303200000.0,-55900000.0,11501800000.0,675700000.0,11979900000.0,12047800000.0,11977500000.0,-2400000.0,11979900000.0,11766500000.0,,,213400000.0,213400000.0,2783700000.0,1238200000.0,44600000.0,75100000.0,371300000.0,640900000.0,573000000.0,67900000.0,1545500000.0,191400000.0,358100000.0,102700000.0,255400000.0,139100000.0,485300000.0,,800000.0,484500000.0,14761200000.0,13271600000.0,221000000.0,,201900000.0,201900000.0,,1806000000.0,478100000.0,250000000.0,228100000.0,10469500000.0,,10469500000.0,574800000.0,9894700000.0,,,,,1489600000.0,295800000.0,,152400000.0,,,2000000.0,335300000.0,,,704100000.0,119600000.0,584500000.0,,2024-03-31
213401951.0,213401951.0,5807100000.0,6451200000.0,5304550000.0,11757980000.0,-1315490000.0,5304550000.0,480300000.0,5787080000.0,10598030000.0,5784840000.0,-2240000.0,5787080000.0,6000000.0,2966820000.0,1852200000.0,174660000.0,174660000.0,8040230000.0,5672390000.0,,75300000.0,365840000.0,5216650000.0,405700000.0,4810950000.0,2367840000.0,,1234550000.0,74600000.0,1159950000.0,112310000.0,923480000.0,316750000.0,115520000.0,491210000.0,13825070000.0,12772720000.0,,335070000.0,200000.0,,200000.0,1809910000.0,482530000.0,254430000.0,228100000.0,10008410000.0,-2183780000.0,12192190000.0,465420000.0,429730000.0,2821940000.0,6671160000.0,1803940000.0,0.0,1052350000.0,,362680000.0,129700000.0,100160000.0,29540000.0,59000000.0,312800000.0,-106740000.0,419540000.0,188170000.0,24370000.0,163800000.0,163800000.0,2023-09-30
213401951.0,213401951.0,5500100000.0,6174300000.0,5067500000.0,11225620000.0,-1298520000.0,5067500000.0,505500000.0,5556820000.0,10567020000.0,5554620000.0,-2200000.0,5556820000.0,,2742560000.0,1852200000.0,174660000.0,174660000.0,8063280000.0,5836880000.0,,70300000.0,317480000.0,5444500000.0,434300000.0,5010200000.0,2226400000.0,,729800000.0,71200000.0,658600000.0,103190000.0,1322410000.0,340860000.0,415700000.0,565850000.0,13617900000.0,12690020000.0,,305500000.0,200000.0,,200000.0,1814870000.0,489320000.0,261220000.0,228100000.0,9963230000.0,-2031420000.0,11994650000.0,345690000.0,427070000.0,2709100000.0,6701620000.0,1811170000.0,0.0,927880000.0,,279000000.0,134780000.0,105880000.0,28900000.0,80900000.0,261000000.0,-109900000.0,370900000.0,172200000.0,3500000.0,168700000.0,168700000.0,2023-03-31
