Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,,0.0,674429000.0,674429000.0,316042000.0,674429000.0,674429000.0,674429000.0,674429000.0,674429000.0,540896000.0,,,133533000.0,133533000.0,89018000.0,4729000.0,3079000.0,1650000.0,0.0,0.0,84289000.0,9677000.0,0.0,0.0,2187000.0,,72425000.0,,32045000.0,40380000.0,763447000.0,363116000.0,341000.0,,0.0,297185000.0,297185000.0,,65590000.0,,65590000.0,0.0,65590000.0,,,,400331000.0,26089000.0,,206292000.0,,,,,38064000.0,109702000.0,,,20184000.0,,20184000.0,,2024-03-31
11618828.0,11618828.0,0.0,506616000.0,506616000.0,239726000.0,506616000.0,506616000.0,506616000.0,506616000.0,506616000.0,390428000.0,,,116188000.0,116188000.0,154242000.0,2124000.0,1000.0,2123000.0,0.0,0.0,152118000.0,101224000.0,0.0,0.0,0.0,,50894000.0,,0.0,50894000.0,660858000.0,269014000.0,,,0.0,201147000.0,201147000.0,0.0,67867000.0,,67867000.0,0.0,67867000.0,,,,391844000.0,37523000.0,,171314000.0,,,,,,154017000.0,,,28990000.0,28379000.0,611000.0,,2023-09-30
11618828.0,11618828.0,0.0,455251000.0,455251000.0,266280000.0,455251000.0,455251000.0,455251000.0,455251000.0,455251000.0,42495000.0,174252000.0,122316000.0,116188000.0,116188000.0,91345000.0,1286000.0,,1286000.0,,,90059000.0,-1000.0,0.0,0.0,,14000.0,62818000.0,675000.0,0.0,62143000.0,546596000.0,190257000.0,1000.0,117890000.0,0.0,8860000.0,8860000.0,,63506000.0,-13738000.0,77244000.0,1156000.0,62351000.0,46784000.0,29304000.0,0.0,356339000.0,1000.0,124000.0,66693000.0,8023000.0,58144000.0,526000.0,1187000.0,11228000.0,153841000.0,0.0,153841000.0,123265000.0,111465000.0,11800000.0,11800000.0,2023-03-31
