Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Special Income Charges,Gain On Sale Of Ppe,Impairment Of Capital Assets,Earnings From Equity Interest,Gain On Sale Of Security,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Write Off
487259865.134865,0.183941,17673000000.0,2649000000.0,2649000000.0,13070000000.0,3713000000.0,29347000000.0,20322000000.0,16609000000.0,54000000.0,593000000.0,647000000.0,10908259865.134865,13070000000.0,57552000000.0,14959000000.0,166789762.0,166514111.0,78.53,78.66,13070000000.0,13070000000.0,13070000000.0,13070000000.0,13070000000.0,2946000000.0,16016000000.0,2684000000.0,1681000000.0,-16000000.0,-173000000.0,35000000.0,968000000.0,54000000.0,,593000000.0,647000000.0,13278000000.0,28205000000.0,852000000.0,6877000000.0,20476000000.0,41483000000.0,29347000000.0,70830000000.0,70830000000.0,2024-03-31,
278075000.0,0.245,21286000000.0,1135000000.0,1135000000.0,13789000000.0,3770000000.0,29945000000.0,22421000000.0,18651000000.0,189000000.0,394000000.0,583000000.0,12932075000.0,13789000000.0,55242000000.0,17267000000.0,166775520.0,166513706.0,82.68,82.81,13789000000.0,13789000000.0,13789000000.0,13789000000.0,13789000000.0,4468000000.0,18257000000.0,1162000000.0,361000000.0,471000000.0,110000000.0,27000000.0,774000000.0,189000000.0,,394000000.0,583000000.0,16906000000.0,25297000000.0,-496000000.0,5565000000.0,20228000000.0,42203000000.0,29945000000.0,72148000000.0,72148000000.0,2023-12-31,
281707000.0,0.227,22035000000.0,1241000000.0,1241000000.0,14800000000.0,3789000000.0,28434000000.0,23276000000.0,19487000000.0,366000000.0,353000000.0,719000000.0,13840707000.0,14800000000.0,51317000000.0,17867000000.0,166704213.0,166366906.0,88.78,88.96,14800000000.0,14800000000.0,14800000000.0,14800000000.0,14800000000.0,4334000000.0,19134000000.0,1283000000.0,382000000.0,437000000.0,55000000.0,42000000.0,859000000.0,366000000.0,,353000000.0,719000000.0,17485000000.0,22883000000.0,-1359000000.0,5447000000.0,18795000000.0,40368000000.0,28434000000.0,68802000000.0,68802000000.0,2023-09-30,
197826680.387803,0.240373,21580000000.0,823000000.0,823000000.0,14025000000.0,3569000000.0,27831000000.0,22403000000.0,18834000000.0,-42000000.0,371000000.0,329000000.0,13399826680.387802,14025000000.0,49745000000.0,17636000000.0,166528141.0,166172986.0,84.22,84.4,14025000000.0,14025000000.0,14025000000.0,14025000000.0,14025000000.0,4438000000.0,18463000000.0,866000000.0,-3000000.0,8000000.0,11000000.0,43000000.0,826000000.0,-42000000.0,-784000000.0,371000000.0,329000000.0,17639000000.0,21914000000.0,-772000000.0,4984000000.0,17702000000.0,39553000000.0,27831000000.0,67384000000.0,67384000000.0,2023-06-30,
0.0,0.276349,16798000000.0,0.0,0.0,9592000000.0,3189000000.0,26971000000.0,16798000000.0,13609000000.0,120000000.0,354000000.0,474000000.0,9592000000.0,9592000000.0,49909000000.0,12380000000.0,166452843.0,166136010.0,57.68,57.79,9592000000.0,9592000000.0,9592000000.0,9592000000.0,9592000000.0,3663000000.0,13255000000.0,76000000.0,-679000000.0,-139000000.0,540000000.0,76000000.0,679000000.0,120000000.0,,354000000.0,474000000.0,13059000000.0,22938000000.0,-420000000.0,5366000000.0,17992000000.0,35997000000.0,26971000000.0,62968000000.0,62968000000.0,2023-03-31,
3124807.395994,0.260401,21711000000.0,12000000.0,12000000.0,13920000000.0,3810000000.0,30383000000.0,21723000000.0,17913000000.0,837000000.0,,,13911124807.395994,13920000000.0,58814000000.0,17925000000.0,166786485.0,166527097.0,83.46,83.59,13920000000.0,13920000000.0,13920000000.0,13920000000.0,13920000000.0,4901000000.0,18821000000.0,71000000.0,12000000.0,17000000.0,,59000000.0,,837000000.0,-837000000.0,,,17913000000.0,28431000000.0,-453000000.0,6193000000.0,22691000000.0,46344000000.0,30383000000.0,76727000000.0,76727000000.0,2024-06-30 00:00:00,5000000.0
