Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges
0.0,0.089581,-218407000.0,-320005000.0,72978000.0,836990000.0,-218407000.0,-291385000.0,-60107000.0,60107000.0,-320005000.0,-1014670000.0,1251628000.0,,,,,-299243000.0,-299243000.0,0.0,-299243000.0,-299243000.0,,,-320005000.0,-31487000.0,-351492000.0,64534000.0,-60107000.0,60107000.0,87362000.0,414638000.0,235492000.0,72978000.0,72978000.0,502000000.0,836990000.0,1338990000.0,1338990000.0,2024-03-31,,,
0.0,0.126664,203342000.0,55242000.0,73543000.0,512906000.0,203342000.0,129799000.0,-66545000.0,66545000.0,55242000.0,55242000.0,963903000.0,27453750.0,27453750.0,-0.8,-0.8,-21963000.0,-21963000.0,0.0,-21963000.0,-21963000.0,-77205000.0,,55242000.0,8012000.0,63254000.0,7977000.0,-66545000.0,66545000.0,121822000.0,450997000.0,260966000.0,73543000.0,73543000.0,572819000.0,512906000.0,1085725000.0,1085725000.0,2023-12-31,,,
0.0,0.022961,201675000.0,51232000.0,66601000.0,448531000.0,201675000.0,135074000.0,-82638000.0,82638000.0,51232000.0,-34609000.0,889193000.0,27687200.0,27687200.0,-1.25,-1.25,-34609000.0,-34609000.0,0.0,-34609000.0,-34609000.0,,-85841000.0,51232000.0,1204000.0,52436000.0,12171000.0,-82638000.0,82638000.0,122903000.0,440662000.0,262909000.0,66601000.0,66601000.0,563565000.0,448531000.0,1012096000.0,1012096000.0,2023-09-30,,,
0.0,0.3,219628000.0,70265000.0,63073000.0,749297000.0,219628000.0,156555000.0,-87508000.0,87508000.0,70265000.0,-482116000.0,1142994000.0,27596795.0,27596795.0,-17.47,-17.47,-482116000.0,-482116000.0,0.0,-482116000.0,-482116000.0,,-552381000.0,70265000.0,-1218000.0,69047000.0,2181000.0,-87508000.0,87508000.0,154374000.0,393697000.0,225978000.0,63073000.0,63073000.0,548071000.0,749297000.0,1297368000.0,1297368000.0,2023-06-30,,,
0.0,0.281836,197841000.0,35923000.0,74216000.0,1164276000.0,197841000.0,123625000.0,-73603000.0,73603000.0,35923000.0,35923000.0,1468060000.0,,,,,35923000.0,35923000.0,0.0,35923000.0,35923000.0,,,35923000.0,14098000.0,50022000.0,7239000.0,-73603000.0,73603000.0,116385000.0,303784000.0,111892000.0,74216000.0,74216000.0,420169000.0,1164276000.0,1584445000.0,1584445000.0,2023-03-31,,,
,,,,,,,,,,,,,27567332.0,27567332.0,4.01,4.01,,,,,,-56949000.0,,,,,,,,,,,,,,,,,2022-12-31,,,
0.0,0.211879,253581000.0,80263000.0,67299000.0,655829000.0,253581000.0,186282000.0,-84441000.0,84441000.0,80263000.0,71319000.0,1144726000.0,27536293.0,27536293.0,2.59,2.59,71319000.0,71319000.0,0.0,71319000.0,71319000.0,,-8944000.0,80263000.0,21578000.0,101841000.0,8541000.0,-84441000.0,84441000.0,177741000.0,488897000.0,294539000.0,67299000.0,67299000.0,666638000.0,655829000.0,1322467000.0,1322467000.0,2024-06-30 00:00:00,0.0,0.0,0.0
