Tax Effect Of Unusual Items,Tax Rate For Calcs,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date,Other Special Charges,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Insurance And Claims,Rent And Landing Fees
14097091.90372,0.212626,66300000.0,66300000.0,56243600000.0,148400000.0,87388900000.0,151523000000.0,238911900000.0,56191397091.90372,56243600000.0,,,,,56243600000.0,56243600000.0,56243600000.0,-19320700000.0,75564300000.0,0.0,75564300000.0,20405700000.0,95970000000.0,66300000.0,,1672100000.0,6078800000.0,5331700000.0,148500000.0,148500000.0,91277500000.0,91277500000.0,2024-03-31,,,,,,
0.0,0.209372,0.0,0.0,47274000000.0,137900000.0,84563900000.0,148272400000.0,232836300000.0,47274000000.0,47274000000.0,3298953245.0,3298953245.0,14.33,14.33,47274000000.0,47274000000.0,47274000000.0,-15670400000.0,62944400000.0,0.0,62944400000.0,16668800000.0,79613200000.0,0.0,,488800000.0,3277000000.0,1767300000.0,138100000.0,138100000.0,86080200000.0,86080200000.0,2023-12-31,,,,,,
0.0,0.231854,0.0,0.0,48330800000.0,126800000.0,77817100000.0,143131100000.0,220948200000.0,48330800000.0,48330800000.0,3299030717.0,3299030717.0,14.65,14.65,48330800000.0,48330800000.0,48330800000.0,-17950900000.0,66281700000.0,0.0,66281700000.0,20006200000.0,86287900000.0,0.0,,1980600000.0,3139000000.0,1854200000.0,126800000.0,126800000.0,80764100000.0,80764100000.0,2023-09-30,,,,,,
-23120590.568044,0.191713,-120600000.0,-120600000.0,45763200000.0,,71462100000.0,136695500000.0,208157600000.0,45860679409.43195,45763200000.0,3300865551.0,3300865551.0,13.864,13.864,45763200000.0,45763200000.0,45763200000.0,-14058200000.0,59821400000.0,0.0,59821400000.0,14188700000.0,74010100000.0,-120600000.0,120600000.0,209700000.0,2976700000.0,1814300000.0,,,77779300000.0,77779300000.0,2023-06-30,,,,,,
-20325922.786151,0.210413,-96600000.0,-96600000.0,46767100000.0,142100000.0,69801400000.0,126371300000.0,196172700000.0,46843374077.21385,46767100000.0,,,,,46767100000.0,46767100000.0,46767100000.0,-14519200000.0,61286300000.0,0.0,61286300000.0,16331900000.0,77618200000.0,-96600000.0,,643800000.0,4541200000.0,2795900000.0,142400000.0,142400000.0,73346900000.0,73346900000.0,2023-03-31,,,,,,
,,,,,141300000.0,,,,,,3299358974.0,3299358974.0,11.7,11.7,,,,,,,,,,,,,,,141200000.0,141200000.0,,,2022-12-31,,,,,,
0.0,0.192453,0.0,0.0,55431400000.0,123100000.0,90069700000.0,155194000000.0,245263700000.0,55431400000.0,55431400000.0,3299488095.0,3299488095.0,16.8,16.8,55431400000.0,55431400000.0,55431400000.0,-16389200000.0,71820600000.0,0.0,71820600000.0,17116100000.0,88936700000.0,0.0,,5128600000.0,2976300000.0,1561900000.0,123100000.0,123100000.0,97200700000.0,97200700000.0,2024-06-30 00:00:00,,,,,,
