Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Payables,Total Tax Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Current Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Treasury Shares Number,Retained Earnings,Additional Paid In Capital,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Non Current Prepaid Assets,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Prepaid Assets,Finished Goods,Cash Equivalents,Cash Financial
71297444.0,71297444.0,80263200000.0,94246100000.0,36222100000.0,130692100000.0,129521100000.0,36222100000.0,36446000000.0,130692100000.0,36448900000.0,2900000.0,36446000000.0,35733000000.0,713000000.0,713000000.0,97376400000.0,97320500000.0,367500000.0,94246100000.0,94246100000.0,172300000.0,55900000.0,55900000.0,55900000.0,133825300000.0,4248300000.0,438100000.0,1327200000.0,,1959200000.0,1959200000.0,223900000.0,50000000.0,173900000.0,299900000.0,129577000000.0,0.0,110143000000.0,492700000.0,,18941300000.0,4958400000.0,13982900000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,,
71083814.0,71083814.0,62562610000.0,77631910000.0,33367740000.0,111225530000.0,107980290000.0,33367740000.0,33593620000.0,111225530000.0,33596220000.0,2600000.0,33593620000.0,32882780000.0,710840000.0,710840000.0,79089200000.0,79048970000.0,408260000.0,77631910000.0,77631910000.0,147610000.0,40230000.0,40230000.0,40230000.0,112685420000.0,4664900000.0,208650000.0,1208040000.0,,2740030000.0,2740030000.0,225880000.0,51990000.0,173890000.0,282300000.0,108020520000.0,0.0,88617310000.0,905050000.0,,18498160000.0,3428860000.0,15069300000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,,
70983269.0,70983269.0,52608930000.0,60742690000.0,30769440000.0,91732850000.0,88010380000.0,30769440000.0,30990160000.0,91732850000.0,30992480000.0,2320000.0,30990160000.0,30280330000.0,709830000.0,709830000.0,62833530000.0,62793300000.0,434790000.0,60742690000.0,60742690000.0,62760000.0,40230000.0,40230000.0,40230000.0,93826010000.0,5775400000.0,222210000.0,1969110000.0,0.0,3114570000.0,3114570000.0,220720000.0,46830000.0,173890000.0,248790000.0,88050610000.0,12660000.0,77598060000.0,394510000.0,,10045380000.0,1911620000.0,8133760000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,,
70983269.0,70983269.0,40942000000.0,51188000000.0,29385000000.0,80796000000.0,77413000000.0,29385000000.0,29608000000.0,80796000000.0,29610000000.0,2000000.0,29608000000.0,28898000000.0,710000000.0,710000000.0,53005000000.0,52928000000.0,466000000.0,51188000000.0,51188000000.0,46000000.0,77000000.0,77000000.0,77000000.0,82615000000.0,5124000000.0,193000000.0,2386000000.0,,2063000000.0,2063000000.0,223000000.0,49000000.0,174000000.0,259000000.0,77490000000.0,99000000.0,65093000000.0,357000000.0,305000000.0,11636000000.0,1390000000.0,10246000000.0,2022-12-31,,,,,,,,,,,,,,,,,,,,,
