Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.302364,321100000.0,168200000.0,38900000.0,2733800000.0,321100000.0,282200000.0,-41100000.0,41100000.0,168200000.0,168200000.0,3216900000.0,241500000.0,,,,,168200000.0,168200000.0,0.0,168200000.0,168200000.0,168200000.0,72900000.0,241100000.0,145300000.0,-41100000.0,41100000.0,137300000.0,483100000.0,253000000.0,38900000.0,38900000.0,620400000.0,2733800000.0,3354200000.0,3354200000.0,2024-03-31
0.0,0.066398,283300000.0,185600000.0,37200000.0,2223400000.0,283300000.0,246100000.0,-47300000.0,47300000.0,185600000.0,185600000.0,2570100000.0,203200000.0,220952381.0,220952381.0,0.84,0.84,185600000.0,185600000.0,0.0,185600000.0,185600000.0,185600000.0,13200000.0,198800000.0,18100000.0,-47300000.0,47300000.0,232400000.0,346700000.0,115800000.0,37200000.0,37200000.0,579100000.0,2223400000.0,2802500000.0,2802500000.0,2023-12-31
0.0,0.025931,287700000.0,206600000.0,36800000.0,1757900000.0,287700000.0,250900000.0,-38800000.0,38800000.0,206600000.0,206600000.0,2102900000.0,52200000.0,219787234.0,219787234.0,0.94,0.94,206600000.0,206600000.0,0.0,206600000.0,206600000.0,206600000.0,5500000.0,212100000.0,22900000.0,-38800000.0,38800000.0,68100000.0,345000000.0,108400000.0,36800000.0,36800000.0,413100000.0,1757900000.0,2171000000.0,2171000000.0,2023-09-30
0.0,0.03252,186100000.0,119000000.0,31100000.0,1613300000.0,186100000.0,155000000.0,-32000000.0,32000000.0,119000000.0,119000000.0,1930300000.0,121800000.0,220370370.0,220370370.0,0.54,0.54,119000000.0,119000000.0,0.0,119000000.0,119000000.0,119000000.0,4000000.0,123000000.0,39500000.0,-32000000.0,32000000.0,114300000.0,317000000.0,86100000.0,31100000.0,31100000.0,431300000.0,1613300000.0,2044600000.0,2044600000.0,2023-06-30
0.0,0.0387,555759000.0,476910000.0,32899000.0,2543072000.0,555759000.0,522860000.0,24903000.0,6781000.0,476910000.0,476910000.0,2716347000.0,-358761700.0,,,,,476910000.0,476910000.0,0.0,476910000.0,496107000.0,496107000.0,19972000.0,516079000.0,-31132000.0,24903000.0,6781000.0,537167000.0,173275000.0,-209799000.0,32899000.0,32899000.0,710442000.0,2543072000.0,3253514000.0,3253514000.0,2023-03-31
,,,,,,,,,,,,,,217733333.0,217733333.0,0.75,0.75,,,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.241107,219600000.0,96000000.0,38300000.0,2169000000.0,219600000.0,181300000.0,-54800000.0,54800000.0,96000000.0,96000000.0,2601500000.0,128800000.0,223255814.0,223255814.0,0.43,0.43,96000000.0,96000000.0,0.0,96000000.0,96000000.0,96000000.0,30500000.0,126500000.0,30400000.0,-54800000.0,54800000.0,153200000.0,432500000.0,172700000.0,38300000.0,38300000.0,585700000.0,2169000000.0,2754700000.0,2754700000.0,2024-06-30 00:00:00
