Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
111386427.0,111386427.0,2691510000.0,2905970000.0,11262270000.0,14168500000.0,10823710000.0,11262270000.0,11262530000.0,11464570000.0,11262530000.0,11262530000.0,11039750000.0,,,222780000.0,222780000.0,7210890000.0,221210000.0,,,202040000.0,202040000.0,19170000.0,6989680000.0,321600000.0,2703930000.0,2703930000.0,,710000.0,3943540000.0,,23450000.0,3920090000.0,18473420000.0,660030000.0,500000.0,,23410000.0,37280000.0,37280000.0,,,260000.0,260000.0,598580000.0,,598580000.0,0.0,598580000.0,,,,,17813390000.0,699280000.0,,,,2034980000.0,,,,,0.0,6670710000.0,,,8408420000.0,8193960000.0,214460000.0,,,2024-03-31
96723671.0,96723671.0,4163920000.0,4339600000.0,5914450000.0,10254400000.0,5613350000.0,5914450000.0,5914800000.0,6118820000.0,5914800000.0,5914800000.0,5721350000.0,,,193450000.0,193450000.0,5264160000.0,216960000.0,-10000.0,12950000.0,204020000.0,204020000.0,,5047200000.0,389450000.0,4135580000.0,4135580000.0,2320000.0,,472050000.0,,0.0,472050000.0,11178960000.0,518410000.0,480000.0,,53680000.0,33710000.0,33710000.0,,,350000.0,350000.0,430190000.0,,430190000.0,0.0,430190000.0,,,,,10660550000.0,918890000.0,,,,1031760000.0,,,,,550000.0,2138250000.0,,,6571100000.0,6395420000.0,175680000.0,,,2023-09-30
96723671.0,96723671.0,4958100000.0,5094810000.0,5666780000.0,10762020000.0,5457660000.0,5666780000.0,5667210000.0,5724910000.0,5667210000.0,5667210000.0,5473760000.0,1756080000.0,3717680000.0,193450000.0,193450000.0,6525630000.0,70100000.0,,12400000.0,57700000.0,57700000.0,,6455530000.0,44190000.0,5037110000.0,5037110000.0,530000.0,,1384930000.0,22390000.0,0.0,1362540000.0,12192840000.0,279650000.0,500000.0,27190000.0,43720000.0,4010000.0,4010000.0,0.0,0.0,430000.0,430000.0,204300000.0,-85360000.0,289660000.0,52900000.0,15810000.0,84560000.0,93390000.0,43000000.0,0.0,11913190000.0,432610000.0,21200000.0,2013490000.0,432610000.0,2291620000.0,1438460000.0,0.0,853160000.0,100000.0,13870000.0,3195320000.0,0.0,3195320000.0,3944980000.0,3808270000.0,136710000.0,0.0,136710000.0,2023-03-31
