Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Preferred Securities Outside Stock Equity,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Cash Cash Equivalents And Federal Funds Sold
2488940310.0,2488940310.0,718648500000.0,766034500000.0,232932900000.0,999793100000.0,232932900000.0,234384400000.0,999793100000.0,235279900000.0,895500000.0,234384400000.0,209495000000.0,,,24889400000.0,24889400000.0,791895600000.0,,766034500000.0,14010900000.0,,,1792400000.0,12218500000.0,1027175500000.0,132025400000.0,132025400000.0,130170000000.0,,0.0,1451500000.0,1317500000.0,134000000.0,4098200000.0,,4098200000.0,,4098200000.0,,,,,2505000000.0,2916700000.0,46760200000.0,,2024-03-31,,
2483069511.0,2483069511.0,667096900000.0,766219500000.0,220574700000.0,987421700000.0,220574700000.0,221854200000.0,987421700000.0,222752800000.0,898600000.0,221854200000.0,197023500000.0,,,24830700000.0,24830700000.0,787212400000.0,,766219500000.0,11659600000.0,,,1867500000.0,9792100000.0,1009965200000.0,134514400000.0,134514400000.0,132705100000.0,,0.0,1279500000.0,1145500000.0,134000000.0,4111900000.0,,4111900000.0,,4111900000.0,,,,,2614600000.0,4554400000.0,98470600000.0,,2023-09-30,,
2479671117.0,2479671117.0,741393800000.0,831049000000.0,213947900000.0,1045718200000.0,213947900000.0,215283700000.0,1045718200000.0,216178100000.0,894400000.0,215283700000.0,1410300000.0,62993000000.0,78720600000.0,24796700000.0,24796700000.0,847443300000.0,0.0,831049000000.0,10998700000.0,595500000.0,11700000.0,2327600000.0,8063900000.0,1063621400000.0,145406600000.0,145406600000.0,27503900000.0,116158200000.0,3114900000.0,1335800000.0,1201800000.0,134000000.0,1143610000.0,-1169800000.0,2313410000.0,21000000.0,1204000000.0,1077510000.0,10900000.0,0.0,387800000.0,1716600000.0,6778400000.0,89040700000.0,95700000.0,2023-03-31,,
