Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
74010000.0,74010000.0,89807000.0,92055000.0,377123000.0,469178000.0,298680000.0,377123000.0,377123000.0,393426000.0,377123000.0,377123000.0,229103000.0,,,148020000.0,148020000.0,198514000.0,21987000.0,,,0.0,16303000.0,16303000.0,176527000.0,81121000.0,,75752000.0,75752000.0,,4924000.0,14730000.0,,0.0,14730000.0,575637000.0,100431000.0,19737000.0,,1157000.0,40513000.0,40513000.0,,39024000.0,,39024000.0,,39024000.0,,,,475207000.0,-1000.0,,,329860000.0,,,21367000.0,136000.0,78842000.0,,,45003000.0,42755000.0,2248000.0,,2024-03-31
74010000.0,74010000.0,140826000.0,141204000.0,361534000.0,502738000.0,240000000.0,361534000.0,361534000.0,378067000.0,361534000.0,361534000.0,213514000.0,,,148020000.0,148020000.0,166992000.0,20393000.0,-1000.0,,0.0,16533000.0,16533000.0,146599000.0,11353000.0,,124671000.0,124671000.0,,4185000.0,6390000.0,,0.0,6390000.0,528526000.0,141928000.0,23237000.0,,715000.0,83761000.0,83761000.0,,34215000.0,,34215000.0,,34215000.0,,,,386599000.0,2000.0,,,293057000.0,,,5434000.0,1877000.0,66085000.0,,,20144000.0,19766000.0,378000.0,,2023-09-30
74010000.0,74010000.0,92080000.0,112217000.0,355731000.0,467948000.0,326305000.0,355731000.0,355731000.0,375613000.0,355731000.0,355731000.0,,171748000.0,35963000.0,148020000.0,148020000.0,215886000.0,26437000.0,,6555000.0,0.0,19882000.0,19882000.0,189449000.0,,8596000.0,92335000.0,92335000.0,25000.0,-7000.0,78953000.0,234000.0,175000.0,78544000.0,571617000.0,55862428.0,,20078000.0,1103000.0,,,0.0,34681428.0,-36649965.0,71331393.0,0.0,,43581895.0,27749498.0,0.0,515754000.0,,11148000.0,165185000.0,243894000.0,241238000.0,2656000.0,,,75390000.0,0.0,75390000.0,20137000.0,,20137000.0,20137000.0,2023-03-31
