Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investment Properties,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Investmentin Financial Assets,Available For Sale Securities
,10144061.0,10144061.0,985978000.0,1005030000.0,657798000.0,1648742000.0,478987000.0,657798000.0,14086000.0,657798000.0,705514000.0,657798000.0,657798000.0,556357000.0,,,101441000.0,101441000.0,1321806000.0,95887000.0,,61802000.0,14086000.0,47716000.0,34085000.0,1225919000.0,139305000.0,943228000.0,0.0,943228000.0,,11362000.0,23359000.0,,23359000.0,1979604000.0,274698000.0,,101483000.0,113829000.0,59386000.0,,59386000.0,59386000.0,,,,1704906000.0,211401000.0,,45780000.0,,,1217761000.0,229964000.0,224998000.0,4966000.0,,2023-09-30,,
0.0,10144061.0,10144061.0,899218000.0,922521000.0,586624000.0,1488532000.0,462562000.0,586624000.0,20613000.0,586624000.0,674494000.0,586624000.0,586624000.0,485183000.0,401519000.0,75581000.0,101441000.0,101441000.0,1209429000.0,129355000.0,28140000.0,101215000.0,13345000.0,87870000.0,28140000.0,1080074000.0,122137000.0,821306000.0,7268000.0,814038000.0,10176000.0,10176000.0,248592000.0,228755000.0,19837000.0,1796053000.0,253417000.0,-1000.0,71466000.0,113829000.0,68092000.0,-199983000.0,268075000.0,9796000.0,149312000.0,108967000.0,0.0,1542636000.0,2000.0,59383000.0,48998000.0,219152000.0,109868000.0,1045102000.0,60131000.0,57441000.0,2690000.0,2690000.0,2023-03-31,,
,10144061.0,10144061.0,996058000.0,1022190000.0,715760000.0,1717363000.0,507612000.0,715760000.0,20587000.0,715760000.0,751807000.0,715760000.0,715760000.0,614319000.0,,,101441000.0,101441000.0,1350662000.0,82886000.0,,44013000.0,7966000.0,36047000.0,38873000.0,1267776000.0,144376000.0,978177000.0,12621000.0,965556000.0,,11153000.0,20829000.0,,20829000.0,2066422000.0,291034000.0,,96771000.0,113829000.0,64159000.0,,64159000.0,64159000.0,,,,1775388000.0,207913000.0,,50434000.0,,,1267735000.0,249306000.0,243761000.0,5545000.0,,2024-03-31 00:00:00,16275000.0,16275000.0
