Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
27751280.0,27751280.0,1244500000.0,1444600000.0,4145500000.0,5641300000.0,1051300000.0,4145500000.0,2100000.0,4198800000.0,4780100000.0,4287600000.0,88800000.0,4198800000.0,4059900000.0,,,138900000.0,138900000.0,2265600000.0,695800000.0,21800000.0,,,,582300000.0,1000000.0,581300000.0,4000000.0,1569800000.0,132700000.0,862300000.0,1100000.0,861200000.0,46900000.0,401300000.0,,,5500000.0,395800000.0,6553200000.0,3932100000.0,38400000.0,,108400000.0,4200000.0,4200000.0,0.0,53300000.0,,2449300000.0,,2449300000.0,1400000.0,2447900000.0,,,,,2621100000.0,163100000.0,,,757900000.0,,,,727300000.0,,481100000.0,491700000.0,293700000.0,198000000.0,,2024-03-31
27751280.0,27751280.0,1245400000.0,1364100000.0,3975600000.0,5399000000.0,729000000.0,3975600000.0,2600000.0,4037500000.0,4544800000.0,4069400000.0,31900000.0,4037500000.0,3898700000.0,,,138800000.0,138800000.0,2430400000.0,616300000.0,41400000.0,,,0.0,508600000.0,1300000.0,507300000.0,3300000.0,1814100000.0,116000000.0,855500000.0,1300000.0,854200000.0,69100000.0,674200000.0,,,7300000.0,666900000.0,6499800000.0,3956700000.0,47900000.0,,141600000.0,,,11900000.0,61900000.0,,2458700000.0,,2458700000.0,13700000.0,2445000000.0,,,,,2543100000.0,244100000.0,,,1025100000.0,,,,663800000.0,0.0,277100000.0,333000000.0,216900000.0,116100000.0,,2023-09-30
23879227.0,23879227.0,1329300000.0,1370800000.0,3411400000.0,4849800000.0,360000000.0,3411400000.0,2400000.0,3481400000.0,3850400000.0,3521800000.0,40400000.0,3481400000.0,7200000.0,2519700000.0,608300000.0,119400000.0,119400000.0,2565200000.0,809300000.0,28900000.0,336700000.0,12600000.0,,370500000.0,1500000.0,369000000.0,2300000.0,1755900000.0,49200000.0,1000300000.0,900000.0,999400000.0,62600000.0,574500000.0,94100000.0,2100000.0,7200000.0,471100000.0,6087000000.0,3971100000.0,47700000.0,50600000.0,120900000.0,0.0,,12100000.0,70000000.0,70000000.0,2526900000.0,-896400000.0,3423300000.0,12900000.0,2565100000.0,2072900000.0,916100000.0,421400000.0,0.0,2115900000.0,265400000.0,16600000.0,232400000.0,667400000.0,72800000.0,47700000.0,546900000.0,736600000.0,,257300000.0,205600000.0,166500000.0,39100000.0,39100000.0,2023-03-31
