Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
,45370088.0,45370088.0,1566100000.0,1749400000.0,11343900000.0,13013100000.0,6790800000.0,11343900000.0,106600000.0,11370300000.0,11382200000.0,11370300000.0,11370300000.0,11279600000.0,,,90700000.0,90700000.0,4653100000.0,725600000.0,36000000.0,,,100300000.0,88500000.0,76600000.0,11900000.0,99300000.0,3927500000.0,532300000.0,1660900000.0,30000000.0,1630900000.0,,35800000.0,1645400000.0,,,1645400000.0,16023400000.0,5305100000.0,19000000.0,,286500000.0,286500000.0,,,127100000.0,26400000.0,26400000.0,0.0,4801600000.0,,4801600000.0,187000000.0,4614600000.0,,,,,10718300000.0,959000000.0,,,4676700000.0,,,,22600000.0,175100000.0,4677000000.0,,,207900000.0,131200000.0,76700000.0,,2024-03-31
1499992.0,46870080.0,48370072.0,1676900000.0,2119500000.0,11864800000.0,13892900000.0,7358100000.0,11864800000.0,119000000.0,11892400000.0,11984300000.0,11892400000.0,11892400000.0,11798700000.0,,,93700000.0,93700000.0,5324600000.0,833800000.0,36600000.0,,,94300000.0,179200000.0,87300000.0,91900000.0,113400000.0,4490800000.0,582900000.0,1940300000.0,31700000.0,1908600000.0,,43000000.0,1895800000.0,,,1895800000.0,17217000000.0,5368100000.0,229400000.0,,286600000.0,286600000.0,,,130200000.0,27600000.0,27600000.0,0.0,4631600000.0,,4631600000.0,97300000.0,4534300000.0,,,,,11848900000.0,1134000000.0,,,4529500000.0,,,,22800000.0,345700000.0,4451800000.0,,,1365100000.0,1041500000.0,323600000.0,,2023-09-30
,46870080.0,46870080.0,1447813000.0,1627435000.0,11339920000.0,12865151000.0,6887603000.0,11339920000.0,131191000.0,11368907000.0,11461021000.0,11368907000.0,11368907000.0,11275200000.0,194362000.0,79961000.0,93740000.0,93740000.0,4998347000.0,857623000.0,56400000.0,94126000.0,56331000.0,106142000.0,187869000.0,95755000.0,92114000.0,94100000.0,4140724000.0,689300000.0,1439566000.0,35436000.0,1404130000.0,40264000.0,40300000.0,2356127000.0,421664000.0,12083000.0,1922380000.0,16367254000.0,5338927000.0,174500000.0,285140000.0,180111000.0,100000.0,180011000.0,109400000.0,135951000.0,28987000.0,28987000.0,0.0,4686770000.0,-3491477000.0,8178247000.0,54101000.0,172016000.0,4498880000.0,3083385000.0,369865000.0,0.0,11028327000.0,52404000.0,12083000.0,159430000.0,4243578000.0,2486132000.0,500074000.0,1257372000.0,23629000.0,1156038000.0,4271614000.0,-67293000.0,4338907000.0,1109551000.0,1061120000.0,48431000.0,48431000.0,2023-03-31
