Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Restricted Cash,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Long Term Capital Lease Obligation,Current Provisions,Dividends Payable
13300000.0,13300000.0,4888137000.0,4912613000.0,1587730000.0,6509296000.0,6073139000.0,1587730000.0,,1596683000.0,6509296000.0,1596683000.0,1596683000.0,1463683000.0,,,133000000.0,133000000.0,5106879000.0,5068212000.0,,,0.0,4912613000.0,4912613000.0,16637000.0,38667000.0,,,,38667000.0,23192000.0,0.0,15475000.0,6703562000.0,591756000.0,63647000.0,,50916000.0,206781000.0,206781000.0,434000.0,8953000.0,8953000.0,261025000.0,,261025000.0,4777000.0,256248000.0,,6111806000.0,,,5899311000.0,0.0,,212495000.0,188019000.0,24476000.0,,2024-03-31,,,
13000000.0,13000000.0,4363303000.0,4447074000.0,1420697000.0,5880748000.0,5327692000.0,1420697000.0,,1433674000.0,5880748000.0,1433674000.0,1433674000.0,1303674000.0,,,130000000.0,130000000.0,4639763000.0,4590051000.0,,,0.0,4447074000.0,4447074000.0,33003000.0,49712000.0,,,,49712000.0,38574000.0,0.0,11138000.0,6073437000.0,696033000.0,67721000.0,,43658000.0,328658000.0,328658000.0,434000.0,12977000.0,12977000.0,242585000.0,,242585000.0,3801000.0,238784000.0,,5377404000.0,,,5042081000.0,24358000.0,,310965000.0,227194000.0,83771000.0,,2023-09-30,,,
13000000.0,13000000.0,3944137000.0,4087194000.0,1326758000.0,5315996000.0,-274070000.0,1326758000.0,103819000.0,1332621000.0,4080475000.0,1332621000.0,1332621000.0,25000000.0,818781000.0,137702000.0,130000000.0,130000000.0,3793072000.0,2426499000.0,-410954000.0,28457000.0,0.0,2747854000.0,2747854000.0,53084000.0,1366573000.0,1339340000.0,103819000.0,1235521000.0,27233000.0,22340000.0,0.0,4893000.0,5125693000.0,4033190000.0,64521000.0,71193000.0,39272000.0,186270000.0,186270000.0,434000.0,5863000.0,5863000.0,244325000.0,-55426000.0,299751000.0,1649000.0,133673000.0,164429000.0,1092503000.0,0.0,61988000.0,798031000.0,927000.0,64337000.0,167220000.0,127982000.0,39238000.0,39238000.0,2023-03-31,,,
