Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.132837,2201100000.0,0.0,0.0,1489000000.0,480000000.0,3049500000.0,2201100000.0,1721100000.0,-28800000.0,28800000.0,1489000000.0,1489000000.0,7282600000.0,,,,,1489000000.0,1489000000.0,0.0,1489000000.0,21500000.0,1467500000.0,1467500000.0,224800000.0,1692300000.0,107000000.0,0.0,,-28800000.0,28800000.0,1629800000.0,4233100000.0,1046300000.0,480000000.0,231600000.0,248400000.0,1801900000.0,1801900000.0,5862900000.0,3049500000.0,8912400000.0,8912400000.0,2024-03-31
-3307572.52019,0.056061,3305500000.0,-59000000.0,-59000000.0,2584100000.0,458100000.0,3112100000.0,3246500000.0,2788400000.0,-27100000.0,27100000.0,2639792427.47981,2584100000.0,7272600000.0,436503378.0,436503378.0,5.92,5.92,2584100000.0,2584100000.0,0.0,2584100000.0,-22400000.0,2606500000.0,2606500000.0,154800000.0,2761300000.0,167100000.0,-59000000.0,59000000.0,-27100000.0,27100000.0,2690600000.0,4160500000.0,1024300000.0,458100000.0,234200000.0,223900000.0,1657300000.0,1657300000.0,6851100000.0,3112100000.0,9963200000.0,9963200000.0,2023-12-31
0.0,0.08084,2441600000.0,,,1785000000.0,460900000.0,2587900000.0,2441600000.0,1980700000.0,-22500000.0,22500000.0,1785000000.0,1785000000.0,6772900000.0,436430318.0,436430318.0,4.09,4.09,1785000000.0,1785000000.0,0.0,1785000000.0,-14900000.0,1799900000.0,1799900000.0,158300000.0,1958200000.0,111100000.0,,,-22500000.0,22500000.0,1875800000.0,4185000000.0,1163400000.0,460900000.0,234200000.0,226700000.0,1544100000.0,1544100000.0,6060800000.0,2587900000.0,8648700000.0,8648700000.0,2023-09-30
0.0,0.086201,1977900000.0,,,1377200000.0,460000000.0,2855900000.0,1977900000.0,1517900000.0,-21400000.0,21400000.0,1377200000.0,1377200000.0,6816500000.0,440000000.0,440000000.0,3.13,3.13,1377200000.0,1377200000.0,0.0,1377200000.0,9700000.0,1367500000.0,1367500000.0,129000000.0,1496500000.0,82800000.0,,,-21400000.0,21400000.0,1440100000.0,3960600000.0,967800000.0,460000000.0,231800000.0,228200000.0,1518700000.0,1518700000.0,5400700000.0,2855900000.0,8256600000.0,8256600000.0,2023-06-30
20024374.699566,0.042253,1658180000.0,473918000.0,473918000.0,1444320000.0,639690000.0,3081706000.0,2132098000.0,1492408000.0,87510000.0,13714000.0,990426374.699566,1444320000.0,6563932000.0,,,,,1444320000.0,1444320000.0,0.0,1444320000.0,28105000.0,1416215000.0,1416215000.0,62479000.0,1478694000.0,-450403000.0,47419000.0,,87510000.0,13714000.0,1358362000.0,3482226000.0,6669429000.0,639690000.0,390220000.0,249470000.0,1296600000.0,1296600000.0,4840588000.0,3081706000.0,7922294000.0,7922294000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,441582868.0,441582868.0,5.37,5.37,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2022-12-31
0.0,0.155735,2248700000.0,0.0,0.0,1526400000.0,444300000.0,2929700000.0,2248700000.0,1804400000.0,-20600000.0,20600000.0,1526400000.0,1526400000.0,7339900000.0,436114286.0,436114286.0,3.5,3.5,1526400000.0,1526400000.0,0.0,1526400000.0,20400000.0,1506000000.0,1506000000.0,277800000.0,1783800000.0,104600000.0,0.0,,-20600000.0,20600000.0,1720800000.0,4410200000.0,1018400000.0,444300000.0,232200000.0,212100000.0,1836900000.0,1836900000.0,6131000000.0,2929700000.0,9060700000.0,9060700000.0,2024-06-30 00:00:00
