Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Impairment Of Capital Assets,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-365169245.647969,0.232592,51810000000.0,-1570000000.0,-1570000000.0,31740000000.0,363970000000.0,50240000000.0,50240000000.0,-8880000000.0,8880000000.0,32944830754.35203,31740000000.0,511740000000.0,,,,,31740000000.0,31740000000.0,0.0,31740000000.0,0.0,31740000000.0,31740000000.0,9620000000.0,41360000000.0,3620000000.0,-1570000000.0,0.0,-10000000.0,1580000000.0,-8880000000.0,8880000000.0,48200000000.0,147770000000.0,110210000000.0,195970000000.0,363970000000.0,559940000000.0,559940000000.0,2024-03-31
-548230168.269231,0.299579,44550000000.0,-1830000000.0,-1830000000.0,23310000000.0,341080000000.0,42720000000.0,42720000000.0,-9440000000.0,9440000000.0,24591769831.73077,23310000000.0,486340000000.0,2222116301.0,2220000000.0,10.49,10.5,23310000000.0,23310000000.0,0.0,23310000000.0,0.0,23310000000.0,23310000000.0,9970000000.0,33280000000.0,2800000000.0,-1830000000.0,,60000000.0,1770000000.0,-9440000000.0,9440000000.0,41740000000.0,145260000000.0,106810000000.0,187000000000.0,341080000000.0,528080000000.0,528080000000.0,2023-12-31
22423398.328691,0.320334,42580000000.0,70000000.0,70000000.0,21960000000.0,358440000000.0,42650000000.0,42650000000.0,-10340000000.0,10340000000.0,21912423398.32869,21960000000.0,503740000000.0,2224924012.0,2222672065.0,9.87,9.88,21960000000.0,21960000000.0,0.0,21960000000.0,0.0,21960000000.0,21960000000.0,10350000000.0,32310000000.0,4630000000.0,70000000.0,-330000000.0,50000000.0,210000000.0,-10340000000.0,10340000000.0,37950000000.0,145300000000.0,108820000000.0,183250000000.0,358440000000.0,541690000000.0,541690000000.0,2023-09-30
-80654205.607477,0.260175,43400000000.0,-310000000.0,-310000000.0,24540000000.0,350270000000.0,43090000000.0,43090000000.0,-9920000000.0,9920000000.0,24769345794.392525,24540000000.0,490440000000.0,2224841342.0,2220814480.0,11.03,11.05,24540000000.0,24540000000.0,0.0,24540000000.0,0.0,24540000000.0,24540000000.0,8630000000.0,33170000000.0,3910000000.0,-310000000.0,120000000.0,150000000.0,40000000.0,-9920000000.0,9920000000.0,39470000000.0,140170000000.0,104880000000.0,179640000000.0,350270000000.0,529910000000.0,529910000000.0,2023-06-30
-737203240.577668,0.150757,42700000000.0,-4890000000.0,-4890000000.0,24110000000.0,428460000000.0,37810000000.0,37810000000.0,-4270000000.0,9420000000.0,28262796759.422333,24110000000.0,500010000000.0,,,,,24110000000.0,24110000000.0,0.0,24110000000.0,0.0,24110000000.0,24110000000.0,4280000000.0,28390000000.0,-6530000000.0,-1830000000.0,870000000.0,1540000000.0,-580000000.0,-4270000000.0,9420000000.0,45910000000.0,71550000000.0,-45490000000.0,117460000000.0,428460000000.0,545920000000.0,545920000000.0,2023-03-31
,,,,,,,,,,,,,,2221859706.0,2221859706.0,6.13,6.13,,,,,,,,,,,,,,,,,,,,,,,,2022-12-31
-1507607260.726073,0.365924,61190000000.0,-4120000000.0,-4120000000.0,30740000000.0,359870000000.0,57070000000.0,57070000000.0,-8590000000.0,8590000000.0,33352392739.27393,30740000000.0,513200000000.0,2225923244.0,2221098266.0,13.81,13.84,30740000000.0,30740000000.0,0.0,30740000000.0,0.0,30740000000.0,30740000000.0,17740000000.0,48480000000.0,4240000000.0,-4120000000.0,,970000000.0,3150000000.0,-8590000000.0,8590000000.0,56930000000.0,153330000000.0,114560000000.0,210260000000.0,359870000000.0,570130000000.0,570130000000.0,2024-06-30 00:00:00
