Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Amortization,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Other Non Operating Income Expenses
0.0,0.0,557510000.0,-90000.0,-90000.0,-83060000.0,432320000.0,420560000.0,557420000.0,125100000.0,-159190000.0,208160000.0,50110000.0,-82970000.0,-83060000.0,1800820000.0,188560000.0,-83060000.0,-83060000.0,0.0,-83060000.0,-83060000.0,-83060000.0,0.0,-83060000.0,-90000.0,90000.0,-159190000.0,1140000.0,208160000.0,50110000.0,76220000.0,1380260000.0,358170000.0,432320000.0,970000.0,431350000.0,116330000.0,18220000.0,98110000.0,188560000.0,1456480000.0,420560000.0,1877040000.0,1877040000.0,2023-06-30,,,,,
0.0,0.0,891710000.0,,,27880000.0,582980000.0,631480000.0,891710000.0,308730000.0,-280850000.0,280850000.0,,27880000.0,27880000.0,2370020000.0,,27880000.0,27880000.0,0.0,27880000.0,27880000.0,27880000.0,0.0,27880000.0,,,-280850000.0,,280850000.0,,207410000.0,1738540000.0,764350000.0,582980000.0,,582980000.0,,,,,1945950000.0,631480000.0,2577430000.0,2577430000.0,2024-06-30 00:00:00,66380952.0,64837209.0,0.42,0.43,101320000.0
