Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
227423096.0,227423096.0,14470000.0,3037820000.0,13411310000.0,16684080000.0,10483740000.0,13411310000.0,,13646260000.0,,14491390000.0,13646260000.0,13646260000.0,13191410000.0,,,454850000.0,454850000.0,,8137190000.0,997940000.0,,0.0,845130000.0,,845130000.0,152810000.0,7139250000.0,509640000.0,2192690000.0,,2192690000.0,,25920000.0,3824420000.0,,108940000.0,3715480000.0,21783450000.0,4160460000.0,318340000.0,,5800000.0,36590000.0,36590000.0,,234950000.0,234950000.0,3564780000.0,,3564780000.0,478290000.0,3086490000.0,,,,,17622990000.0,727730000.0,,,8659890000.0,,,,38660000.0,42320000.0,2491010000.0,,,5663380000.0,2640030000.0,3023350000.0,,2024-03-31
227423096.0,227423096.0,8125980000.0,8214040000.0,2310890000.0,10736830000.0,394780000.0,2314820000.0,2010000.0,2524800000.0,3930000.0,3571270000.0,2528730000.0,2528730000.0,,-1382340000.0,3043160000.0,395440000.0,391510000.0,3930000.0,14531920000.0,1375600000.0,130320000.0,202370000.0,1042910000.0,370000.0,1042540000.0,,13156320000.0,54460000.0,7171130000.0,1640000.0,7169490000.0,17830000.0,,4537160000.0,745830000.0,199450000.0,3591880000.0,17060650000.0,3509550000.0,20000.0,238390000.0,,51710000.0,16950000.0,34760000.0,213910000.0,213910000.0,3004580000.0,-3595810000.0,6600390000.0,175170000.0,106860000.0,4997670000.0,1113510000.0,207180000.0,0.0,13551100000.0,,265690000.0,628450000.0,8683490000.0,126690000.0,3472400000.0,5084400000.0,2513870000.0,42320000.0,1331230000.0,-41370000.0,1372600000.0,86050000.0,,86050000.0,86050000.0,2023-09-30
