Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Tax Provision
436931200.0,0.4,364475000.0,1092328000.0,1092328000.0,1361968000.0,18354000.0,40355000.0,1456803000.0,1438449000.0,-76481000.0,76481000.0,706571200.0,1361968000.0,314161000.0,,,,,1361968000.0,1361968000.0,0.0,1361968000.0,1361968000.0,1361968000.0,1361968000.0,16452000.0,1092328000.0,,-76481000.0,76481000.0,342720000.0,273806000.0,67334000.0,18354000.0,18354000.0,616526000.0,40355000.0,656881000.0,656881000.0,2024-03-31,
0.0,0.3,122982000.0,0.0,0.0,38231000.0,11904000.0,52599000.0,122982000.0,111078000.0,-72847000.0,72847000.0,38231000.0,38231000.0,341729000.0,159295833.0,159295833.0,0.24,0.24,38231000.0,38231000.0,0.0,38231000.0,38231000.0,38231000.0,38231000.0,26038000.0,0.0,,-72847000.0,72847000.0,92871000.0,289130000.0,96684000.0,11904000.0,11904000.0,382001000.0,52599000.0,434600000.0,434600000.0,2023-12-31,
191877300.0,0.3,100649000.0,639591000.0,639591000.0,659207000.0,10052000.0,56191000.0,740240000.0,730188000.0,-70981000.0,70981000.0,211493300.0,659207000.0,323970000.0,157328640.0,157328640.0,4.19,4.19,659207000.0,659207000.0,0.0,659207000.0,659207000.0,659207000.0,659207000.0,47173000.0,639591000.0,-639591000.0,-70981000.0,70981000.0,142615000.0,267779000.0,56816000.0,10052000.0,10052000.0,410394000.0,56191000.0,466585000.0,466585000.0,2023-09-30,
0.0,0.3,128975000.0,,,48574000.0,12035000.0,77581000.0,128975000.0,116940000.0,-68366000.0,68366000.0,48574000.0,48574000.0,324160000.0,156690323.0,156690323.0,0.31,0.31,48574000.0,48574000.0,0.0,48574000.0,48574000.0,48574000.0,48574000.0,23026000.0,,,-68366000.0,68366000.0,136983000.0,246579000.0,55790000.0,12035000.0,12035000.0,383562000.0,77581000.0,461143000.0,461143000.0,2023-06-30,
-9900.0,0.3,228910000.0,-33000.0,-33000.0,166912000.0,10786000.0,81868000.0,228877000.0,218091000.0,-56279000.0,51179000.0,166935100.0,166912000.0,308556000.0,,,,,166212000.0,166212000.0,0.0,166912000.0,166912000.0,166912000.0,166912000.0,-14285000.0,-33000.0,,-56279000.0,51179000.0,160526000.0,226688000.0,-122157000.0,10786000.0,10786000.0,387214000.0,81868000.0,469082000.0,469082000.0,2023-03-31,
,,,,,,,,,,,,,,,147133333.0,147133333.0,-0.03,-0.03,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
0.0,0.325407,303157000.0,,,128945000.0,29657000.0,58161000.0,303157000.0,273500000.0,-82355000.0,82355000.0,128945000.0,128945000.0,363476000.0,157250000.0,157250000.0,0.82,0.82,128945000.0,128945000.0,0.0,128945000.0,128945000.0,128945000.0,191145000.0,7682000.0,,,-82355000.0,82355000.0,267123000.0,305315000.0,94503000.0,29657000.0,29657000.0,572438000.0,58161000.0,630599000.0,630599000.0,2024-06-30 00:00:00,62200000.0
