Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
12921000.0,12921000.0,454943000.0,473679000.0,1282911000.0,1756590000.0,490352000.0,1282911000.0,1282911000.0,1303750000.0,1282911000.0,1282911000.0,1153701000.0,,,129210000.0,129210000.0,1052688000.0,96646000.0,12439000.0,,,53451000.0,20839000.0,20839000.0,9917000.0,956042000.0,89950000.0,,452840000.0,452840000.0,,1574000.0,408071000.0,,53142000.0,354929000.0,2335599000.0,889206000.0,4059000.0,,19496000.0,19496000.0,824266000.0,,,,,,,,,1446394000.0,177601000.0,,,290193000.0,,,,6598000.0,0.0,953266000.0,18736000.0,,18736000.0,,2023-09-30
12921000.0,12921000.0,323426000.0,323485000.0,1256660000.0,1580145000.0,453091000.0,1256660000.0,1256660000.0,1269225000.0,1256660000.0,1256660000.0,,495075000.0,631137000.0,129210000.0,129210000.0,722373000.0,90388000.0,-2000.0,9617000.0,9751000.0,58457000.0,12565000.0,12565000.0,,631985000.0,71004000.0,35510000.0,310920000.0,310920000.0,1232000.0,,213319000.0,3088000.0,,210231000.0,1979033000.0,893959000.0,,4059000.0,,,855923000.0,-469871000.0,1325794000.0,0.0,74960000.0,1135602000.0,76737000.0,38495000.0,0.0,1085076000.0,,17398000.0,71254000.0,331025000.0,59048000.0,39426000.0,232551000.0,1482000.0,3554000.0,659610000.0,753000.0,694000.0,59000.0,59000.0,2023-03-31
