Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Current Liabilities,Other Current Liabilities,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Trading Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
18277538.0,18277538.0,8222178000.0,8223204000.0,278925000.0,8222178000.0,8223204000.0,8223204000.0,8223204000.0,8223204000.0,8040344000.0,7416444000.0,182860000.0,182860000.0,951195000.0,19020000.0,2892000.0,16128000.0,932175000.0,640302000.0,11352000.0,225876000.0,6686000.0,9089000.0,210101000.0,9174399000.0,7963299000.0,241805000.0,244231000.0,5263261000.0,1524609000.0,284452000.0,3454200000.0,1892522000.0,1026000.0,1026000.0,562259000.0,-393307000.0,955566000.0,60680000.0,501579000.0,495868000.0,319855000.0,79163000.0,0.0,1211100000.0,548562000.0,6686000.0,225811000.0,286763000.0,29951000.0,53206000.0,203606000.0,17975000.0,125303000.0,114854000.0,10449000.0,10449000.0,2024-03-31
18278514.0,18278514.0,7129156000.0,7130789000.0,15262000.0,7129156000.0,7130789000.0,7130789000.0,7130789000.0,7130789000.0,6947929000.0,,182860000.0,182860000.0,902283000.0,25112000.0,2892000.0,22220000.0,877171000.0,685544000.0,16434000.0,167897000.0,,4704000.0,163193000.0,8033072000.0,7140639000.0,258939000.0,,4687944000.0,,4687944000.0,,1622671000.0,1633000.0,1633000.0,569452000.0,,569452000.0,78509000.0,490943000.0,,,,,892433000.0,405218000.0,,,330738000.0,,,,27084000.0,129393000.0,121318000.0,8075000.0,,2023-09-30
18277538.0,18277538.0,6816023000.0,6817656000.0,229576000.0,6816023000.0,6817656000.0,6817656000.0,6817656000.0,6817656000.0,6634796000.0,6010896000.0,182860000.0,182860000.0,874007000.0,25112000.0,2892000.0,22220000.0,848895000.0,670055000.0,8273000.0,95567000.0,6521000.0,0.0,89046000.0,7691663000.0,6613192000.0,220087000.0,222222000.0,4457276000.0,1508100000.0,284452000.0,2664724000.0,1323710000.0,1633000.0,1633000.0,603765000.0,-350935000.0,954700000.0,78509000.0,525256000.0,483290000.0,313738000.0,79163000.0,0.0,1078471000.0,140685000.0,6521000.0,329011000.0,366989000.0,27121000.0,58579000.0,281289000.0,3059000.0,232206000.0,216145000.0,16061000.0,16061000.0,2023-03-31
22846923.0,22846923.0,8560303000.0,8561329000.0,156312000.0,8560303000.0,8561329000.0,8561329000.0,8561329000.0,8561329000.0,8332775000.0,,228554000.0,228554000.0,1001913000.0,19020000.0,2892000.0,16128000.0,982893000.0,762497000.0,17075000.0,194801000.0,,25587000.0,169214000.0,9563242000.0,8424037000.0,285966000.0,,5375082000.0,,5375082000.0,,2217065000.0,1026000.0,1026000.0,544898000.0,,544898000.0,73278000.0,471620000.0,,,,,1139205000.0,213765000.0,,,227006000.0,,,,29292000.0,669142000.0,643566000.0,25576000.0,,2024-09-30 00:00:00
