Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-5896000.0,0.4,1610120000.0,-14740000.0,-14740000.0,181030000.0,497600000.0,4162250000.0,1595380000.0,1097780000.0,-801560000.0,801560000.0,189874000.0,181750000.0,9040610000.0,,,,,181750000.0,181750000.0,0.0,181750000.0,77320000.0,104430000.0,720000.0,103710000.0,192510000.0,296220000.0,-135460000.0,-14740000.0,177980000.0,,-37660000.0,-801560000.0,801560000.0,1799740000.0,4878360000.0,2389070000.0,497600000.0,497600000.0,6678100000.0,4162250000.0,10840350000.0,10840350000.0,2024-03-31
-54570000.0,0.3,1587140000.0,-181900000.0,-181900000.0,-44810000.0,512280000.0,4212420000.0,1405240000.0,892960000.0,-792840000.0,792840000.0,82520000.0,496670000.0,8950850000.0,91636531.0,91467772.0,5.42,5.43,496670000.0,496670000.0,0.0,496670000.0,-43910000.0,540580000.0,541480000.0,-900000.0,101020000.0,100120000.0,87540000.0,-181900000.0,-7450000.0,131540000.0,57810000.0,-792840000.0,792840000.0,1425830000.0,4738430000.0,2381210000.0,512280000.0,512280000.0,6164260000.0,4212420000.0,10376680000.0,10376680000.0,2023-12-31
-78714528.76728,0.047432,1477440000.0,-1659510000.0,-1659510000.0,-1313430000.0,601050000.0,4180920000.0,-182070000.0,-783120000.0,-785850000.0,785850000.0,267365471.23272,-1313430000.0,9064050000.0,90332187.0,90332187.0,-14.54,-14.54,-1313430000.0,-1313430000.0,0.0,-1313430000.0,181120000.0,-1494550000.0,0.0,-1494550000.0,-74420000.0,-1568970000.0,358480000.0,-1659510000.0,114060000.0,1539720000.0,5730000.0,-785850000.0,785850000.0,930220000.0,4883130000.0,2282780000.0,601050000.0,601050000.0,5813350000.0,4180920000.0,9994270000.0,9994270000.0,2023-09-30
-10290000.0,0.3,1397590000.0,-34300000.0,-34300000.0,-71130000.0,595900000.0,3849460000.0,1363290000.0,767390000.0,-764200000.0,764200000.0,-47120000.0,-71130000.0,8229920000.0,90037975.0,90037975.0,-0.79,-0.79,-71130000.0,-71130000.0,0.0,-71130000.0,22470000.0,-93600000.0,0.0,-93600000.0,96790000.0,3190000.0,86450000.0,-34300000.0,,29380000.0,4920000.0,-764200000.0,764200000.0,1070020000.0,4380460000.0,2109240000.0,595900000.0,595900000.0,5450480000.0,3849460000.0,9299940000.0,9299940000.0,2023-06-30
-179658000.0,0.3,1510730000.0,-598860000.0,-598860000.0,-95420000.0,609290000.0,4746270000.0,911870000.0,302580000.0,508490000.0,369660000.0,323782000.0,-95420000.0,8550720000.0,,,,,-95420000.0,-95420000.0,0.0,-95420000.0,42530000.0,-137950000.0,0.0,-137950000.0,70870000.0,-67080000.0,-523540000.0,96020000.0,-704910000.0,335760000.0,273130000.0,508490000.0,369660000.0,505800000.0,3804450000.0,-2011630000.0,609290000.0,-103910000.0,4310250000.0,4746270000.0,9056520000.0,9056520000.0,2023-03-31
,,,,,,,,,,,,,,,90322799.0,90322799.0,-8.86,-8.86,,,,,,,,,,,,,-230150000.0,39320000.0,,,,,,,,,,,,,2022-12-31
-7397832.294272,0.197962,2178930000.0,-37370000.0,-37370000.0,702020000.0,485940000.0,4204460000.0,2141560000.0,1655620000.0,-803890000.0,803890000.0,731992167.705728,702020000.0,9191180000.0,92128609.0,91887435.0,7.62,7.64,702020000.0,702020000.0,0.0,702020000.0,18900000.0,683120000.0,0.0,683120000.0,168610000.0,851730000.0,127160000.0,-37370000.0,34980000.0,50000.0,2340000.0,-803890000.0,803890000.0,1683870000.0,4986720000.0,2379100000.0,485940000.0,485940000.0,6670590000.0,4204460000.0,10875050000.0,10875050000.0,2024-06-30 00:00:00
