Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Non Current Deferred Taxes Assets,Other Investments,Investment Properties,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Current Assets,Other Current Assets,Prepaid Assets,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
285000000.0,285000000.0,622702000.0,622957000.0,741114000.0,4183486000.0,-6522906000.0,741114000.0,3560529000.0,4123486000.0,3560529000.0,3560529000.0,710529000.0,,2850000000.0,2850000000.0,7122214000.0,562957000.0,,562957000.0,562957000.0,6559257000.0,1471000.0,60000000.0,60000000.0,1062000.0,9382000.0,,,9382000.0,10682743000.0,10646391000.0,106787000.0,1072873000.0,6647076000.0,2819415000.0,2819415000.0,240000.0,,,,,,36351000.0,25027000.0,,,8080000.0,300000.0,2944000.0,2689000.0,255000.0,,2024-03-31
285000000.0,285000000.0,660901000.0,661301000.0,802810000.0,4283526000.0,-5301236000.0,802810000.0,3622225000.0,4223526000.0,3622225000.0,3622225000.0,772225000.0,,2850000000.0,2850000000.0,7140164000.0,601301000.0,,601301000.0,601301000.0,6538863000.0,656000.0,60000000.0,60000000.0,383000.0,6629000.0,,,6629000.0,10762389000.0,9524762000.0,82273000.0,,6622852000.0,2819415000.0,,222000.0,,222000.0,0.0,222000.0,,1237627000.0,68858000.0,,,11252000.0,101000.0,1157416000.0,1157016000.0,400000.0,,2023-09-30
285000000.0,285000000.0,649403000.0,649902000.0,839300000.0,4308617000.0,-5276236000.0,839300000.0,3658715000.0,4248617000.0,3658715000.0,3658715000.0,1105775000.0,-297060000.0,2850000000.0,2850000000.0,7105611000.0,589901000.0,-1000.0,589902000.0,589902000.0,6515710000.0,1000.0,60000000.0,60000000.0,630000.0,6455079000.0,6448940000.0,809000.0,5330000.0,10764326000.0,9524852000.0,82273000.0,,6622852000.0,2819415000.0,2819415000.0,312000.0,-303000.0,615000.0,,,615000.0,1239474000.0,23306000.0,3327000.0,17050000.0,23287000.0,1781000.0,1194029000.0,1193530000.0,499000.0,499000.0,2023-03-31
