Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Treasury Shares Number,Tradeand Other Payables Non Current,Current Provisions,Defined Pension Benefit,Non Current Prepaid Assets,Prepaid Assets,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Total Tax Payable
56509201.0,56509201.0,12655530000.0,13066565000.0,1580586000.0,14453695000.0,15374706000.0,1580586000.0,239951000.0,1627081000.0,14453695000.0,1627081000.0,1627081000.0,1570572000.0,,,56509000.0,56509000.0,19534007000.0,19295976000.0,137889000.0,,,,13066565000.0,239951000.0,12826614000.0,405923000.0,238031000.0,,,,,,238031000.0,,238031000.0,21161088000.0,5548351000.0,254781000.0,106198000.0,4824777000.0,4824777000.0,46495000.0,46495000.0,316100000.0,,316100000.0,316100000.0,,,,,15612737000.0,,,6008859000.0,102188000.0,606595000.0,8895095000.0,8724011000.0,171084000.0,,2024-03-31,,,,,,,,,
56509201.0,56509201.0,9666910000.0,10222288000.0,1279980000.0,11285020000.0,12478082000.0,1279980000.0,246541000.0,1309273000.0,11285020000.0,1309273000.0,1309273000.0,1252764000.0,,,56509000.0,56509000.0,16247377000.0,16026174000.0,129900000.0,,,,10222288000.0,246541000.0,9975747000.0,361574000.0,221203000.0,,,,,,221203000.0,,221203000.0,17556650000.0,4857365000.0,189331000.0,71655000.0,4263208000.0,4263208000.0,29293000.0,29293000.0,303878000.0,,303878000.0,303878000.0,,,,,12699285000.0,,,6014061000.0,66836000.0,288676000.0,6329712000.0,6020875000.0,308837000.0,,2023-09-30,,,,,,,,,
56452882.0,56452882.0,7269221000.0,8131703000.0,1062388000.0,8985800000.0,4287993000.0,1062388000.0,237625000.0,1091722000.0,1091722000.0,1091722000.0,1091722000.0,1038000.0,693293000.0,53617000.0,56453000.0,56453000.0,12542436000.0,3988339000.0,121173000.0,864897000.0,80004000.0,27935000.0,185526000.0,185526000.0,7894078000.0,334780000.0,8554097000.0,4710000.0,7946177000.0,52099000.0,7894078000.0,254776000.0,283436000.0,88528000.0,194908000.0,13634158000.0,792069000.0,98926000.0,69603000.0,225001000.0,225001000.0,29334000.0,29334000.0,287122000.0,-237752000.0,524874000.0,287121000.0,137615000.0,385759000.0,1500000.0,0.0,12842090000.0,114355000.0,4828367000.0,3017718000.0,82083000.0,183287000.0,4698363000.0,4073506000.0,624857000.0,624857000.0,2023-03-31,,,,,,,,,
56509201.0,56509201.0,13102827000.0,14351735000.0,2011689000.0,16185553000.0,16939359000.0,2011689000.0,224000000.0,2057818000.0,16185553000.0,2057818000.0,2057818000.0,2001309000.0,,,56509000.0,56509000.0,21759818000.0,21454074000.0,127847000.0,,,,14351735000.0,224000000.0,14127735000.0,447477000.0,305744000.0,,,,,,305744000.0,,263541000.0,23817636000.0,6572533000.0,220061000.0,110450000.0,5896942000.0,5896942000.0,46129000.0,46129000.0,298951000.0,,298951000.0,298951000.0,,,,,17245103000.0,,,7171112000.0,109899000.0,559543000.0,9404549000.0,8379641000.0,1024908000.0,,2024-09-30 00:00:00,,,,,,,,,42203000.0
