Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Write Off
0.0,0.116763,137086000.0,0.0,0.0,32557000.0,37138000.0,975128000.0,137086000.0,99948000.0,-63087000.0,63087000.0,32557000.0,32557000.0,1474019000.0,,,,,32557000.0,32557000.0,0.0,32557000.0,32557000.0,0.0,32557000.0,4304000.0,36861000.0,53963000.0,0.0,-63087000.0,63087000.0,45985000.0,498891000.0,324884000.0,37138000.0,37138000.0,544876000.0,975128000.0,1520004000.0,1520004000.0,2024-03-31,
0.0,0.173262,-14278000.0,0.0,0.0,-67590000.0,31850000.0,835119000.0,-14278000.0,-46128000.0,-35627000.0,35627000.0,-67590000.0,-67590000.0,1299165000.0,21457143.0,21457143.0,-3.15,-3.15,-67590000.0,-67590000.0,0.0,-67590000.0,-67590000.0,0.0,-67590000.0,-14165000.0,-81755000.0,21268000.0,0.0,-35627000.0,35627000.0,-67396000.0,464046000.0,279173000.0,31850000.0,31850000.0,396650000.0,835119000.0,1231769000.0,1231769000.0,2023-12-31,
0.0,0.283507,101377000.0,0.0,0.0,22399000.0,30854000.0,699455000.0,101377000.0,70523000.0,-39261000.0,39261000.0,22399000.0,22399000.0,1146661000.0,21537500.0,21537500.0,1.04,1.04,22399000.0,22399000.0,0.0,22399000.0,22399000.0,0.0,22399000.0,8863000.0,31262000.0,20074000.0,0.0,-39261000.0,39261000.0,50449000.0,447206000.0,270661000.0,30854000.0,30854000.0,497655000.0,699455000.0,1197110000.0,1197110000.0,2023-09-30,
0.0,0.282686,87668000.0,0.0,0.0,20706000.0,28629000.0,578310000.0,87668000.0,59039000.0,-30173000.0,30173000.0,20706000.0,20706000.0,958141000.0,21568750.0,21568750.0,0.96,0.96,20706000.0,20706000.0,0.0,20706000.0,20706000.0,0.0,20706000.0,8160000.0,28866000.0,19233000.0,0.0,-30173000.0,30173000.0,39806000.0,379831000.0,217763000.0,28629000.0,28629000.0,419637000.0,578310000.0,997947000.0,997947000.0,2023-06-30,
-6473400.0,0.3,97605000.0,-21578000.0,-21578000.0,72626000.0,28065000.0,1042143000.0,76027000.0,47962000.0,-1090000.0,-204000.0,87730600.0,72626000.0,1039049000.0,,,,,72626000.0,72626000.0,0.0,72626000.0,72626000.0,0.0,72626000.0,-24460000.0,48166000.0,-14838000.0,-21786000.0,-1090000.0,-204000.0,55845000.0,-3094000.0,-624664000.0,28065000.0,28065000.0,52751000.0,1042143000.0,1094894000.0,1094894000.0,2023-03-31,
,,,,,,,,,,,,,,,21423697.0,21423697.0,-2.11,-2.11,,,,,,,,,,,,,,,,,,,,,,,2022-12-31,
0.0,0.217416,68781000.0,0.0,0.0,-13750000.0,35454000.0,819230000.0,68781000.0,33327000.0,-50897000.0,50897000.0,-13750000.0,-13750000.0,1323755000.0,21484375.0,21484375.0,-0.64,-0.64,-13750000.0,-13750000.0,0.0,-13750000.0,-13750000.0,0.0,-13750000.0,-3820000.0,-17570000.0,40496000.0,0.0,-50897000.0,50897000.0,-7169000.0,504525000.0,317645000.0,35454000.0,35454000.0,497356000.0,819230000.0,1316586000.0,1316586000.0,2024-06-30 00:00:00,0.0
