Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Trading Securities
,1022820329.0,1022820329.0,27518600000.0,32222000000.0,36100700000.0,157532100000.0,-291100000.0,36100700000.0,675600000.0,125985700000.0,125985700000.0,125985700000.0,125985700000.0,124962900000.0,,,1022800000.0,1022800000.0,58973200000.0,3069800000.0,7100000.0,,1038100000.0,358300000.0,358300000.0,0.0,1666300000.0,55903400000.0,2350400000.0,31863700000.0,317300000.0,31546400000.0,909700000.0,17339400000.0,,,584600000.0,16754800000.0,184958900000.0,129346600000.0,928800000.0,,3841700000.0,18124100000.0,18124100000.0,0.0,0.0,105800000.0,89885000000.0,39621100000.0,50263900000.0,15245200000.0,,15245200000.0,781500000.0,14463700000.0,,,,,55612300000.0,4005700000.0,,77400000.0,,,12709200000.0,,,,100000.0,15353700000.0,,,23466200000.0,19438400000.0,4027800000.0,,,2024-03-31,,
0.0,1022758404.0,1022758404.0,26756500000.0,32747600000.0,32732200000.0,176999300000.0,2587300000.0,32732200000.0,746900000.0,144998600000.0,144998600000.0,144998600000.0,144998600000.0,143975800000.0,,,1022800000.0,1022800000.0,61192300000.0,2552300000.0,21500000.0,,638400000.0,406400000.0,406400000.0,0.0,1486000000.0,58640000000.0,3289400000.0,32341200000.0,340500000.0,32000700000.0,981500000.0,19252100000.0,,,280200000.0,18971900000.0,206190900000.0,144963600000.0,562700000.0,,6027200000.0,10333800000.0,10333800000.0,0.0,0.0,,112266400000.0,47877400000.0,64389000000.0,14972200000.0,,14972200000.0,551300000.0,14420900000.0,,,,,61227300000.0,5004500000.0,,,,,15945200000.0,,,,300000.0,13582200000.0,,,26695100000.0,21450900000.0,5244200000.0,,,2023-09-30,,
,1022695318.0,1022695318.0,6763400000.0,11295800000.0,53908300000.0,148281900000.0,25146600000.0,53908300000.0,956200000.0,137942300000.0,139833500000.0,137942300000.0,137942300000.0,235600000.0,110966200000.0,14361600000.0,1022700000.0,1022700000.0,37045400000.0,4132300000.0,15700000.0,1034200000.0,615100000.0,2467300000.0,576100000.0,1891200000.0,1034200000.0,32913100000.0,1145100000.0,8828500000.0,380100000.0,8448400000.0,751600000.0,20821900000.0,2306300000.0,136800000.0,147100000.0,18231700000.0,174987700000.0,116928000000.0,4800000.0,692100000.0,7027500000.0,8399300000.0,8399300000.0,0.0,0.0,,84034000000.0,25811500000.0,58222500000.0,15756800000.0,-8821900000.0,24578700000.0,416100000.0,44400000.0,14121700000.0,8542900000.0,1453600000.0,0.0,58059700000.0,4008100000.0,14900000.0,,180400000.0,3951900000.0,15371500000.0,5685900000.0,692000000.0,8993600000.0,307300000.0,12452800000.0,-679000000.0,13131800000.0,25780900000.0,22204700000.0,3576200000.0,512600000.0,3063600000.0,2023-03-31,,
