Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Preferred Securities Outside Stock Equity,Derivative Product Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Stock,Non Current Accrued Expenses,Other Inventories
6769097.0,3710437142.0,3717206239.0,689460000000.0,727710000000.0,259160000000.0,1024800000000.0,-267370000000.0,259160000000.0,10130000000.0,307220000000.0,813550000000.0,420690000000.0,113470000000.0,307220000000.0,303500000000.0,,,3720000000.0,3720000000.0,1487380000000.0,700770000000.0,51580000000.0,,0.0,,,101520000000.0,511690000000.0,5360000000.0,506330000000.0,31050000000.0,786610000000.0,114770000000.0,,216020000000.0,4770000000.0,211250000000.0,,3410000000.0,275280000000.0,,,24980000000.0,250300000000.0,1908070000000.0,1388830000000.0,44720000000.0,,26890000000.0,30000000.0,,36570000000.0,36570000000.0,,,48060000000.0,48060000000.0,1170460000000.0,,1170460000000.0,203310000000.0,967150000000.0,,,,,519240000000.0,37700000000.0,1680000000.0,,,130010000000.0,,,,33640000000.0,480000000.0,36070000000.0,,,279660000000.0,251540000000.0,28120000000.0,,,2024-03-31,,,
2919184.0,3714287055.0,3717206239.0,710840000000.0,750640000000.0,270950000000.0,1060560000000.0,-220990000000.0,270950000000.0,5910000000.0,315830000000.0,855760000000.0,419860000000.0,104030000000.0,315830000000.0,312110000000.0,,,3720000000.0,3720000000.0,1515860000000.0,741840000000.0,43100000000.0,,90000000.0,,,104910000000.0,543050000000.0,3120000000.0,539930000000.0,34800000000.0,774020000000.0,112460000000.0,,207590000000.0,2790000000.0,204800000000.0,,3920000000.0,279990000000.0,,,22380000000.0,257610000000.0,1935720000000.0,1382690000000.0,37830000000.0,,31770000000.0,,7190000000.0,30990000000.0,30990000000.0,,,44880000000.0,44880000000.0,1144220000000.0,-1090000000.0,1144220000000.0,196360000000.0,947860000000.0,,,,,553030000000.0,71540000000.0,1800000000.0,,,141170000000.0,,,,50000000.0,3210000000.0,38710000000.0,,,296550000000.0,262660000000.0,33890000000.0,,33890000000.0,2023-09-30,,,
4005075.0,3713193964.0,3717199039.0,592280000000.0,666000000000.0,388320000000.0,1055770000000.0,-275190000000.0,388320000000.0,4460000000.0,394230000000.0,828890000000.0,494270000000.0,100040000000.0,394230000000.0,390510000000.0,-227550000000.0,190090000000.0,3720000000.0,3720000000.0,1469290000000.0,589030000000.0,3240000000.0,0.0,610000000.0,12410000000.0,43090000000.0,59320000000.0,436100000000.0,1440000000.0,434660000000.0,34260000000.0,880260000000.0,164250000000.0,180000000.0,229900000000.0,3020000000.0,226880000000.0,320000000.0,3810000000.0,385550000000.0,38420000000.0,83680000000.0,16010000000.0,247440000000.0,1963560000000.0,1358490000000.0,36060000000.0,0.0,84950000000.0,,5140000000.0,42970000000.0,40180000000.0,2790000000.0,10000000.0,5910000000.0,5910000000.0,1146820000000.0,-2165180000000.0,3312000000000.0,503620000000.0,1223370000000.0,1063840000000.0,158930000000.0,22380000000.0,339860000000.0,605070000000.0,28150000000.0,2140000000.0,35030000000.0,36780000000.0,150120000000.0,28670000000.0,50810000000.0,70640000000.0,37600000000.0,12560000000.0,40140000000.0,-230000000.0,40370000000.0,262550000000.0,193290000000.0,69260000000.0,8480000000.0,60780000000.0,2023-03-31,,,
