Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
26381674.0,26381674.0,3813000000.0,4089200000.0,7591400000.0,11538200000.0,2566900000.0,7591400000.0,153900000.0,7602900000.0,8845200000.0,7602900000.0,7602900000.0,7339100000.0,,,263800000.0,263800000.0,7011100000.0,1741400000.0,100000.0,,237300000.0,1376800000.0,134500000.0,1242300000.0,90700000.0,5269700000.0,181400000.0,34600000.0,2712400000.0,19400000.0,2693000000.0,,13100000.0,1446000000.0,,,1446000000.0,14614000000.0,6777400000.0,618900000.0,,112300000.0,112300000.0,,,11500000.0,,6033800000.0,,6033800000.0,1089100000.0,4944700000.0,,,,,7836600000.0,365300000.0,,,,3824400000.0,,,,,6800000.0,0.0,2816900000.0,,,823200000.0,700900000.0,122300000.0,,,2024-03-31
24939316.0,24939316.0,4587800000.0,4790700000.0,4961600000.0,9591400000.0,1975700000.0,4961600000.0,173600000.0,4974300000.0,6321400000.0,4974300000.0,4974300000.0,4724900000.0,,,249400000.0,249400000.0,7045800000.0,1798900000.0,,,210400000.0,1484900000.0,137800000.0,1347100000.0,69400000.0,5246900000.0,27300000.0,30300000.0,3305800000.0,35800000.0,3270000000.0,,33400000.0,1666900000.0,,,1666900000.0,12020100000.0,4797500000.0,76000000.0,,5200000.0,101700000.0,,,12700000.0,,4606200000.0,,4606200000.0,1006000000.0,3600200000.0,,,,,7222600000.0,374300000.0,,,,3475100000.0,,,,,6900000.0,0.0,2267800000.0,,,1098500000.0,1069200000.0,29300000.0,,,2023-09-30
24939316.0,24939316.0,3439900000.0,3695100000.0,4812000000.0,8448200000.0,2460900000.0,4812000000.0,73000000.0,4826100000.0,6116900000.0,4826100000.0,4826100000.0,4575800000.0,1700700000.0,2766400000.0,249400000.0,249400000.0,5711900000.0,1614500000.0,-900000.0,46500000.0,190200000.0,1341100000.0,50300000.0,1290800000.0,46500000.0,4097400000.0,15400000.0,17600000.0,2354000000.0,22700000.0,2331300000.0,20800000.0,20800000.0,1702400000.0,136900000.0,0.0,1565500000.0,10538000000.0,3979700000.0,-100000.0,139300000.0,82200000.0,82200000.0,7500000.0,7500000.0,14100000.0,14100000.0,3818900000.0,-417000000.0,4235900000.0,358400000.0,483300000.0,2241000000.0,782100000.0,371100000.0,0.0,6558300000.0,-100000.0,-1400000.0,24800000.0,548900000.0,2929700000.0,55400000.0,588900000.0,1909400000.0,376000000.0,339800000.0,,1773800000.0,-9000000.0,1782700000.0,942800000.0,760600000.0,182200000.0,0.0,182200000.0,2023-03-31
