Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.351013,1067970000.0,0.0,0.0,544370000.0,126790000.0,1902720000.0,1067970000.0,941180000.0,-102380000.0,102380000.0,544370000.0,544370000.0,2748430000.0,,,,,544370000.0,544370000.0,0.0,544370000.0,544370000.0,544370000.0,294430000.0,838800000.0,-289520000.0,0.0,,,-102380000.0,102380000.0,1230700000.0,845710000.0,126790000.0,126790000.0,718920000.0,718920000.0,2076410000.0,1902720000.0,3979130000.0,3979130000.0,2024-03-31
0.0,0.268283,973420000.0,0.0,0.0,567520000.0,142610000.0,1910690000.0,973420000.0,830810000.0,-55210000.0,55210000.0,567520000.0,567520000.0,2790920000.0,140475248.0,134802850.0,4.04,4.21,567520000.0,567520000.0,0.0,567520000.0,567520000.0,567520000.0,208080000.0,775600000.0,-291510000.0,0.0,,0.0,-55210000.0,55210000.0,1122320000.0,880230000.0,142610000.0,142610000.0,737620000.0,737620000.0,2002550000.0,1910690000.0,3913240000.0,3913240000.0,2023-12-31
-13119490.959295,0.304044,973110000.0,-43150000.0,-43150000.0,468810000.0,169700000.0,1840710000.0,929960000.0,760260000.0,-86640000.0,86640000.0,498840509.040705,468810000.0,2741890000.0,140362275.0,134715517.0,3.34,3.48,468810000.0,468810000.0,0.0,468810000.0,468810000.0,468810000.0,204810000.0,673620000.0,-273970000.0,-43150000.0,43150000.0,0.0,-86640000.0,86640000.0,1077380000.0,901180000.0,169700000.0,169700000.0,731480000.0,731480000.0,1978560000.0,1840710000.0,3819270000.0,3819270000.0,2023-09-30
-5072327.499807,0.168684,919090000.0,-30070000.0,-30070000.0,539150000.0,145890000.0,1840900000.0,889020000.0,743130000.0,-94580000.0,94580000.0,564147672.500193,539150000.0,2777120000.0,,,,,539150000.0,539150000.0,0.0,539150000.0,539150000.0,539150000.0,109400000.0,648550000.0,-306520000.0,-30070000.0,,,-94580000.0,94580000.0,1079720000.0,936220000.0,145890000.0,145890000.0,790330000.0,790330000.0,2015940000.0,1840900000.0,3856840000.0,3856840000.0,2023-03-31
-19902013.259082,0.186104,836390000.0,-106940000.0,-106940000.0,460380000.0,117810000.0,1802950000.0,729450000.0,611640000.0,-45990000.0,45990000.0,547417986.740918,460380000.0,2623640000.0,134614360.0,134614360.0,3.419992,3.419992,460380000.0,460380000.0,0.0,460380000.0,460380000.0,460380000.0,105270000.0,565650000.0,-290740000.0,-106940000.0,2600000.0,104340000.0,-45990000.0,45990000.0,1009320000.0,820690000.0,117810000.0,117810000.0,702880000.0,702880000.0,1830010000.0,1802950000.0,3632960000.0,3632960000.0,2022-12-31
-7590106.711632,0.261277,1053590000.0,-29050000.0,-29050000.0,600190000.0,139970000.0,1950990000.0,1024540000.0,884570000.0,-72100000.0,72100000.0,621649893.288368,600190000.0,2841220000.0,140889671.0,135483070.0,4.26,4.43,600190000.0,600190000.0,0.0,600190000.0,600190000.0,600190000.0,212280000.0,812470000.0,-317450000.0,-29050000.0,,29050000.0,-72100000.0,72100000.0,1231070000.0,890230000.0,139970000.0,139970000.0,750260000.0,750260000.0,2121300000.0,1950990000.0,4072290000.0,4072290000.0,2024-06-30 00:00:00
-1663135.202401,0.19227,927150000.0,-8650000.0,-8650000.0,551720000.0,152680000.0,1883690000.0,918500000.0,765820000.0,-82770000.0,82770000.0,558706864.797599,551720000.0,2774340000.0,134614360.0,134614360.0,4.098523,4.098523,551720000.0,551720000.0,0.0,551720000.0,551720000.0,551720000.0,131330000.0,683050000.0,-274630000.0,-8650000.0,8650000.0,0.0,-82770000.0,82770000.0,1049100000.0,890650000.0,152680000.0,152680000.0,737970000.0,737970000.0,1939750000.0,1883690000.0,3823440000.0,3823440000.0,2023-06-30 00:00:00
