Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Preferred Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Preferred Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Joint Venturesat Cost,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Work In Process,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
1714360160.0,1714360160.0,5539800000.0,62137900000.0,32863900000.0,221938000000.0,152534700000.0,36009100000.0,8344500000.0,168144600000.0,3145200000.0,171289800000.0,302253300000.0,130963500000.0,171289800000.0,164715900000.0,,,6573900000.0,3428700000.0,3145200000.0,96682700000.0,10076900000.0,,735100000.0,7763300000.0,7763300000.0,1578500000.0,86605800000.0,7743500000.0,,54374600000.0,581200000.0,53793400000.0,,233300000.0,23853600000.0,,23853600000.0,398936000000.0,159795500000.0,3361700000.0,,39600000.0,6890900000.0,6890900000.0,,,,135280700000.0,116009100000.0,19271600000.0,14207000000.0,,14207000000.0,1036100000.0,13170900000.0,,,,,239140500000.0,22433000000.0,,,101965200000.0,,,8173100000.0,16865700000.0,,,89703500000.0,41449900000.0,48253600000.0,,2024-03-31
1714360160.0,1714360160.0,,18842000000.0,40903300000.0,185182000000.0,163146800000.0,44048500000.0,2393700000.0,168733700000.0,3145200000.0,171878900000.0,304133900000.0,132255000000.0,171878900000.0,165305000000.0,,,6573900000.0,3428700000.0,3145200000.0,55613600000.0,3875500000.0,,552400000.0,1840200000.0,1840200000.0,1482900000.0,51738100000.0,5964500000.0,,17001800000.0,553500000.0,16448300000.0,,232300000.0,27823600000.0,,27823600000.0,359747500000.0,144862600000.0,2498700000.0,,39800000.0,6723100000.0,6723100000.0,,,,127830400000.0,108558900000.0,19271500000.0,7755000000.0,,7755000000.0,282300000.0,7472700000.0,,,,,214884900000.0,15404600000.0,,,76985700000.0,,,8173900000.0,22062200000.0,,,92258500000.0,44709400000.0,47549100000.0,,2023-09-30
1714360160.0,1714360160.0,39063000000.0,43858200000.0,18892400000.0,88109800000.0,22959800000.0,18892400000.0,2533500000.0,46785100000.0,,46785100000.0,61951000000.0,15165900000.0,46785100000.0,43356400000.0,11728600000.0,31577900000.0,3428700000.0,3428700000.0,,75767600000.0,3923600000.0,1280800000.0,629000000.0,2013800000.0,2013800000.0,1280800000.0,71844000000.0,8184500000.0,5000000.0,41844400000.0,519700000.0,41324700000.0,669500000.0,192000000.0,25377700000.0,4506800000.0,20870900000.0,137718600000.0,42914800000.0,3156400000.0,3562300000.0,39800000.0,149500000.0,149500000.0,5481500000.0,70700000.0,5410800000.0,27892700000.0,8621200000.0,19271500000.0,5772500000.0,-6763700000.0,12536200000.0,819700000.0,4952800000.0,7116800000.0,4596600000.0,3100000.0,0.0,94803800000.0,33900000.0,400000.0,10543600000.0,58493400000.0,44831300000.0,13662100000.0,10311600000.0,12311300000.0,-1222200000.0,13533500000.0,3109600000.0,847900000.0,2261700000.0,2261700000.0,2023-03-31
