Tax Effect Of Unusual Items,Tax Rate For Calcs,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Gain On Sale Of Security,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.258608,3202000000.0,205400000.0,2810700000.0,12914800000.0,15725500000.0,3202000000.0,3194300000.0,,,,,3194300000.0,3194300000.0,3194300000.0,3194300000.0,-7700000.0,3202000000.0,1116900000.0,4318900000.0,5743100000.0,2419200000.0,716700000.0,205400000.0,205400000.0,9636500000.0,9636500000.0,2024-03-31
0.0,0.241617,3026100000.0,226300000.0,3501400000.0,13116100000.0,16617500000.0,3026100000.0,3026100000.0,539381080.0,532607064.0,5.610319,5.681675,3026100000.0,3026100000.0,3026100000.0,3026100000.0,0.0,3026100000.0,964100000.0,3990200000.0,4560200000.0,2193300000.0,449900000.0,226300000.0,226300000.0,9001100000.0,9001100000.0,2023-12-31
0.0,0.293149,2979800000.0,229400000.0,3815300000.0,13497700000.0,17313000000.0,2979800000.0,2979800000.0,518757427.0,510825356.0,5.744111,5.833305,2979800000.0,2979800000.0,2979800000.0,2979800000.0,,2979800000.0,1235800000.0,4215600000.0,4598700000.0,2135500000.0,400900000.0,229400000.0,229400000.0,8925300000.0,8925300000.0,2023-09-30
0.0,0.25248,2961900000.0,185100000.0,4641300000.0,13539000000.0,18180300000.0,2961900000.0,2961900000.0,505438245.0,503140799.0,5.860063,5.886821,2961900000.0,2961900000.0,2961900000.0,2961900000.0,,2961900000.0,1000400000.0,3962300000.0,591500000.0,2260700000.0,404300000.0,185100000.0,185100000.0,5617200000.0,5617200000.0,2023-06-30
0.0,0.379981,2606000000.0,220200000.0,5904400000.0,11021600000.0,16926000000.0,2606000000.0,2626100000.0,,,,,2626100000.0,2626100000.0,2626100000.0,2626100000.0,,2606000000.0,1597100000.0,4203100000.0,3401200000.0,1934600000.0,-400300000.0,220200000.0,220200000.0,7297100000.0,7297100000.0,2023-03-31
,,,,,,,,,508131671.0,502651052.0,5.726272,5.788708,,,,,0.0,,,,,,,,,,,2022-12-31
0.0,0.252505,3267600000.0,188800000.0,3798700000.0,13091200000.0,16889900000.0,3267600000.0,3267600000.0,603992606.0,601767956.0,5.41,5.43,3267600000.0,3267600000.0,3267600000.0,3267600000.0,,3267600000.0,1103800000.0,4371400000.0,4889300000.0,2304800000.0,587000000.0,188800000.0,188800000.0,9271500000.0,9271500000.0,2024-06-30 00:00:00
