Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
30415061.0,30415061.0,174500000.0,176400000.0,789700000.0,973500000.0,31800000.0,789700000.0,0.0,797100000.0,797100000.0,797100000.0,797100000.0,736300000.0,,,60800000.0,60800000.0,713500000.0,216000000.0,,,153300000.0,0.0,0.0,0.0,62500000.0,497500000.0,129100000.0,176400000.0,0.0,176400000.0,13700000.0,162600000.0,,,162600000.0,1510600000.0,981300000.0,81100000.0,,4100000.0,4100000.0,,7400000.0,,877900000.0,,,,,,,,529300000.0,71800000.0,,,435600000.0,,,,,3900000.0,,13400000.0,,,4600000.0,2700000.0,1900000.0,,2024-03-31
30415061.0,30415061.0,91388000.0,105042000.0,982165000.0,1095915000.0,217727000.0,982165000.0,556000.0,991429000.0,991429000.0,991429000.0,991429000.0,930600000.0,-10248000.0,225564000.0,60830000.0,60830000.0,728382000.0,225338000.0,1000.0,74708000.0,150056000.0,255000.0,255000.0,0.0,74700000.0,503044000.0,2596000.0,104787000.0,301000.0,104486000.0,14985000.0,230383000.0,1326000.0,3380000.0,225677000.0,1719811000.0,999042000.0,300000.0,588000.0,4111000.0,4093000.0,18000.0,9264000.0,9264000.0,886759000.0,-1026674000.0,1913436000.0,29724000.0,942937000.0,199220000.0,741555000.0,0.0,720771000.0,70000000.0,2751000.0,8760000.0,601435000.0,137010000.0,78394000.0,303774000.0,82257000.0,10767000.0,59520000.0,24440000.0,-285000.0,24725000.0,13098000.0,3300000.0,13098000.0,13098000.0,2023-03-31
