Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
11955958176.0,11955958176.0,253314400000.0,272137900000.0,525452300000.0,272137900000.0,272137900000.0,525452300000.0,272137900000.0,272137900000.0,,,,119559600000.0,119559600000.0,2963346600000.0,253314400000.0,,,3235484500000.0,927614000000.0,927614000000.0,,,,37814700000.0,,,,,,,,290253600000.0,,101971700000.0,2024-03-31,
11955958176.0,11955958176.0,288887900000.0,268268400000.0,557156300000.0,268268400000.0,268268400000.0,557156300000.0,268268400000.0,268268400000.0,,,,119559600000.0,119559600000.0,2932368800000.0,288887900000.0,,,3200637200000.0,946673900000.0,946673900000.0,,,,35673300000.0,,,,,,,,311244400000.0,,126751400000.0,2023-12-31,
11955958176.0,11955958176.0,328573900000.0,262631100000.0,591205000000.0,262631100000.0,262631100000.0,591205000000.0,262631100000.0,262631100000.0,,,,119559600000.0,119559600000.0,2889901400000.0,328573900000.0,,,3152532500000.0,950360800000.0,950360800000.0,,,,35466500000.0,,,,,,,,366682100000.0,,118921500000.0,2023-09-30,
11955958176.0,11955958176.0,210403889000.0,256036557000.0,466440446000.0,256036557000.0,256036557000.0,466440446000.0,256036557000.0,256036557000.0,28032989000.0,14577627000.0,36257103000.0,119559582000.0,119559582000.0,2750985206000.0,210403889000.0,8930607000.0,8930607000.0,3007021763000.0,950085350000.0,949707883000.0,9562918000.0,377467000.0,377467000.0,35095093000.0,-23646156000.0,58741249000.0,650134000.0,24386990000.0,33704125000.0,934101000.0,109764999000.0,287281003000.0,6586629000.0,9142317000.0,2023-03-31,
11955958176.0,11955958176.0,220837900000.0,250182300000.0,471020200000.0,250182300000.0,250182300000.0,471020200000.0,250182300000.0,250182300000.0,,,,119559600000.0,119559600000.0,2713576200000.0,220837900000.0,,,2963758500000.0,978202100000.0,978202100000.0,,,,34231600000.0,,,,,,,,311892200000.0,,119518100000.0,2022-12-31,
11955958176.0,11955958176.0,290338600000.0,270771300000.0,561109900000.0,270771300000.0,270771300000.0,561109900000.0,270771300000.0,270771300000.0,,,,119559600000.0,119559600000.0,3044546500000.0,290338600000.0,,,3315317800000.0,935960100000.0,935960100000.0,,,,37813800000.0,,,,,,,,302117500000.0,,130676800000.0,2024-06-30 00:00:00,
