Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Derivative Product Liabilities,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Defined Pension Benefit,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investmentsin Associatesat Cost,Investmentsin Subsidiariesat Cost,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Prepaid Assets,Receivables,Taxes Receivable,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Cash Cash Equivalents And Federal Funds Sold
,2489613863.0,2489613863.0,3206000000.0,53669800000.0,40207800000.0,99012200000.0,40207800000.0,45342400000.0,99012200000.0,76793100000.0,31450700000.0,45342400000.0,20446300000.0,,,24896100000.0,24896100000.0,112382600000.0,139400000.0,53669800000.0,4629500000.0,,,4629500000.0,189175700000.0,,100882100000.0,100882100000.0,100882100000.0,,,,,2840300000.0,5134600000.0,668200000.0,4466400000.0,9489900000.0,,9489900000.0,125300000.0,9364600000.0,,,,,3063300000.0,908400000.0,50463800000.0,,,2024-03-31,
,2489613863.0,2489613863.0,31561900000.0,57464700000.0,32440300000.0,95134600000.0,32440300000.0,37669900000.0,95134600000.0,68488500000.0,30818600000.0,37669900000.0,,,,24896100000.0,24896100000.0,94115700000.0,147000000.0,57464700000.0,4687500000.0,1188600000.0,,3498900000.0,162604200000.0,,95248500000.0,95248500000.0,95248500000.0,,0.0,0.0,0.0,2836100000.0,5229600000.0,763200000.0,4466400000.0,9571800000.0,,9571800000.0,73500000.0,9498300000.0,,,,,2293700000.0,615800000.0,25902800000.0,,,2023-09-30,
0.0,2195928107.0,2195928107.0,21433500000.0,60200600000.0,32580600000.0,97867800000.0,32580600000.0,37667200000.0,97867800000.0,66688400000.0,29021200000.0,37667200000.0,7353400000.0,-44279000000.0,15327500000.0,21959300000.0,21959300000.0,102698900000.0,0.0,60200600000.0,2772900000.0,,22700000.0,2750200000.0,169387300000.0,0.0,85912300000.0,85912300000.0,66923700000.0,10077100000.0,0.0,0.0,,2981600000.0,5086600000.0,620200000.0,4466400000.0,9681400000.0,-2025000000.0,11706400000.0,54900000.0,160900000.0,2259600000.0,5360900000.0,3870100000.0,274300000.0,8792600000.0,823400000.0,38767100000.0,358300000.0,39800000.0,2023-03-31,
