Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Restructuring And Mergern Acquisition,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Research And Development,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
65507428.744694,0.332019,515300000.0,197300000.0,197300000.0,227000000.0,262300000.0,1408800000.0,712600000.0,450300000.0,-120500000.0,120500000.0,95207428.744694,227000000.0,4164400000.0,,,,,227000000.0,227000000.0,0.0,227000000.0,6700000.0,220300000.0,220300000.0,109500000.0,329800000.0,26600000.0,197300000.0,-197300000.0,-120500000.0,120500000.0,226400000.0,2755600000.0,1482500000.0,262300000.0,262300000.0,233400000.0,2982000000.0,1408800000.0,4390800000.0,4390800000.0,2024-03-31
-25618205.921343,0.312417,652500000.0,-82000000.0,-82000000.0,163000000.0,243500000.0,1423200000.0,570500000.0,327000000.0,-100700000.0,100700000.0,219381794.078657,163000000.0,4202000000.0,92150355.0,92150355.0,1.768848,1.768848,163000000.0,163000000.0,0.0,163000000.0,7400000.0,155600000.0,155600000.0,70700000.0,226300000.0,23500000.0,-82000000.0,82000000.0,-100700000.0,100700000.0,385500000.0,2778800000.0,1400600000.0,243500000.0,243500000.0,241700000.0,3164300000.0,1423200000.0,4587500000.0,4587500000.0,2023-12-31
0.0,0.238548,758000000.0,,,350800000.0,214100000.0,1473100000.0,758000000.0,543900000.0,-81100000.0,81100000.0,350800000.0,350800000.0,4236200000.0,91832461.0,91832461.0,3.82,3.82,350800000.0,350800000.0,0.0,350800000.0,-1600000.0,352400000.0,352400000.0,110400000.0,462800000.0,44300000.0,,,-81100000.0,81100000.0,499600000.0,2763100000.0,1451600000.0,214100000.0,214100000.0,257700000.0,3262700000.0,1473100000.0,4735800000.0,4735800000.0,2023-09-30
0.0,0.286936,655800000.0,,,243900000.0,238800000.0,1286800000.0,655800000.0,417000000.0,-77900000.0,77900000.0,243900000.0,243900000.0,3755200000.0,93091603.0,93091603.0,2.62,2.62,243900000.0,243900000.0,0.0,243900000.0,2100000.0,241800000.0,241800000.0,97300000.0,339100000.0,4100000.0,,,-77900000.0,77900000.0,412900000.0,2468400000.0,1212300000.0,238800000.0,238800000.0,198800000.0,2881300000.0,1286800000.0,4168100000.0,4168100000.0,2023-06-30
0.0,0.337102,652500000.0,,,258100000.0,176900000.0,1314600000.0,652500000.0,475600000.0,-86400000.0,86400000.0,258100000.0,258100000.0,3816800000.0,,,,,258100000.0,258100000.0,0.0,258100000.0,0.0,258100000.0,258000000.0,131200000.0,389200000.0,5000000.0,,,-86400000.0,86400000.0,470600000.0,2502200000.0,1311800000.0,176900000.0,176900000.0,240700000.0,2972800000.0,1314600000.0,4287400000.0,4287400000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,92295082.0,92295082.0,3.05,3.05,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,2022-12-31
0.0,0.3,488000000.0,0.0,0.0,26200000.0,275200000.0,1414900000.0,488000000.0,212800000.0,-143100000.0,143100000.0,26200000.0,26200000.0,4040400000.0,92150355.0,92150355.0,0.2,0.2,26200000.0,26200000.0,0.0,26200000.0,8100000.0,18200000.0,18200000.0,51500000.0,69700000.0,10300000.0,0.0,,-143100000.0,143100000.0,202500000.0,2625500000.0,1202800000.0,275200000.0,275200000.0,246900000.0,2828000000.0,1414900000.0,4242900000.0,4242900000.0,2024-06-30 00:00:00
