Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Restructuring And Mergern Acquisition
0.0,0.27389,41865900000.0,22581200000.0,8149200000.0,38093500000.0,41865900000.0,33716700000.0,-2611500000.0,2611500000.0,22581200000.0,22581200000.0,171199400000.0,,,,,22581200000.0,22581200000.0,0.0,22581200000.0,-4600000.0,22585800000.0,,22585800000.0,8519400000.0,31105200000.0,1356100000.0,-2611500000.0,2611500000.0,32990000000.0,133105900000.0,70990500000.0,8149200000.0,8149200000.0,46472200000.0,46472200000.0,166095900000.0,38093500000.0,204189400000.0,204189400000.0,2024-03-31,,,,
0.0,0.246432,34008100000.0,17769800000.0,7834800000.0,26554000000.0,34008100000.0,26173300000.0,-2621600000.0,2621600000.0,17769800000.0,17769800000.0,142688800000.0,288423957.0,288190075.0,61.61,61.66,17769800000.0,17769800000.0,0.0,17769800000.0,22000000.0,17747800000.0,,17747800000.0,5803900000.0,23551700000.0,1404800000.0,-2621600000.0,2621600000.0,24710900000.0,116134800000.0,64401700000.0,7834800000.0,7834800000.0,36209000000.0,36209000000.0,140845700000.0,26554000000.0,167399700000.0,167399700000.0,2023-12-31,,,,
0.0,0.242262,27215100000.0,12814500000.0,7978300000.0,24942000000.0,27215100000.0,19236800000.0,-2339400000.0,2339400000.0,12814500000.0,12814500000.0,142590700000.0,288419986.0,288225371.0,44.43,44.46,12814500000.0,12814500000.0,0.0,12814500000.0,10700000.0,12803800000.0,,12803800000.0,4093600000.0,16897400000.0,1671300000.0,-2339400000.0,2339400000.0,17530600000.0,117648700000.0,66429800000.0,7978300000.0,7978300000.0,35117600000.0,35117600000.0,135179300000.0,24942000000.0,160121300000.0,160121300000.0,2023-09-30,,,,
0.0,0.254355,32266100000.0,16884500000.0,7490700000.0,29439700000.0,32266100000.0,24775400000.0,-2107500000.0,2107500000.0,16884500000.0,16884500000.0,154369900000.0,288475995.0,288278982.0,58.53,58.57,16884500000.0,16884500000.0,0.0,16884500000.0,-17700000.0,16902200000.0,,16902200000.0,5765700000.0,22667900000.0,1737300000.0,-2107500000.0,2107500000.0,23001100000.0,124930200000.0,110370000000.0,7490700000.0,7490700000.0,41007900000.0,41007900000.0,147931300000.0,29439700000.0,177371000000.0,177371000000.0,2023-06-30,,,,
0.0,0.329923,33846900000.0,16659500000.0,7616600000.0,62833800000.0,33846900000.0,26230300000.0,1355900000.0,1306300000.0,16659500000.0,16659500000.0,152321500000.0,,,,,16659500000.0,16659500000.0,0.0,16659500000.0,-41500000.0,16701000000.0,0.0,16701000000.0,8223000000.0,24924000000.0,-3535800000.0,1355900000.0,1306300000.0,25278500000.0,89487700000.0,24714200000.0,7616600000.0,5667400000.0,56653600000.0,54915200000.0,114766200000.0,62833800000.0,177600000000.0,177600000000.0,2023-03-31,,,,
,,,,,,,,,,,,,288495093.0,288337875.0,36.68,36.7,,,,,,,0.0,,,,,,,,,,,,,,,,,,2022-12-31,,,,
67827168.676948,0.208699,32079100000.0,16965900000.0,8425400000.0,32239400000.0,32404100000.0,23978700000.0,-2555500000.0,2555500000.0,16708727168.676949,16965900000.0,158728200000.0,288437606.0,288192628.0,58.82,58.87,16965900000.0,16965900000.0,0.0,16965900000.0,13700000.0,16952200000.0,,16952200000.0,4471000000.0,21423200000.0,1657400000.0,-2555500000.0,2555500000.0,21967400000.0,126488800000.0,68868400000.0,8425400000.0,8425400000.0,41812900000.0,41812900000.0,148456200000.0,32239400000.0,180695600000.0,180695600000.0,2024-06-30 00:00:00,325000000.0,325000000.0,325000000.0,-325000000.0
