Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date
43644180.0,43644180.0,414842000.0,472093000.0,5224237000.0,5696464000.0,1935774000.0,5224237000.0,5224371000.0,5251482000.0,5221131000.0,-3239000.0,5224371000.0,5006150000.0,218221000.0,218221000.0,1534789000.0,421505000.0,54183000.0,311542000.0,27111000.0,27111000.0,28297000.0,1113284000.0,40975000.0,444982000.0,444982000.0,10318000.0,602447000.0,0.0,602447000.0,6755920000.0,3706863000.0,16856000.0,39468000.0,39468000.0,28559000.0,134000.0,3621846000.0,3621846000.0,174523000.0,3447323000.0,3049058000.0,81963000.0,437649000.0,4994000.0,50446000.0,1562958000.0,911048000.0,853797000.0,57251000.0,2024-03-31
43644180.0,43644180.0,39275000.0,55905000.0,5074584000.0,5130623000.0,1781907000.0,5074584000.0,5074718000.0,5100623000.0,5075890000.0,1172000.0,5074718000.0,4856497000.0,218221000.0,218221000.0,1037181000.0,418081000.0,55468000.0,309817000.0,25905000.0,25905000.0,26533000.0,619100000.0,77370000.0,30000000.0,30000000.0,9779000.0,477611000.0,9294000.0,468317000.0,6113071000.0,3712064000.0,132000.0,43901000.0,43901000.0,22399000.0,134000.0,3645498000.0,3645498000.0,165454000.0,3480044000.0,2401007000.0,119464000.0,398062000.0,8686000.0,26032000.0,1020032000.0,828731000.0,812101000.0,16630000.0,2023-09-30
43644180.0,43644180.0,270001000.0,380687000.0,5061166000.0,5441987000.0,1534790000.0,5061166000.0,5061300000.0,5074172000.0,5063430000.0,2130000.0,5061300000.0,4843079000.0,218221000.0,218221000.0,1250441000.0,413014000.0,56753000.0,319840000.0,12872000.0,12872000.0,23205000.0,837427000.0,32014000.0,367815000.0,367815000.0,8677000.0,407557000.0,8368000.0,399189000.0,6313871000.0,3941654000.0,613000.0,204960000.0,204960000.0,22881000.0,134000.0,3713066000.0,3713066000.0,84143000.0,3628923000.0,2372217000.0,49911000.0,430949000.0,4376000.0,26961000.0,1274960000.0,585060000.0,474374000.0,110686000.0,2023-03-31
