Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,318010000.0,,,21001000.0,123142000.0,308986000.0,318010000.0,194868000.0,-112641000.0,112641000.0,21001000.0,21001000.0,588614000.0,,,,,21001000.0,21001000.0,0.0,21001000.0,582000.0,20420000.0,20420000.0,61808000.0,82227000.0,36919000.0,,-112641000.0,112641000.0,157951000.0,279628000.0,123142000.0,123142000.0,156486000.0,156486000.0,437579000.0,308986000.0,746565000.0,746565000.0,2024-03-31
0.0,0.3,292346000.0,0.0,0.0,56161000.0,135404000.0,265572000.0,292346000.0,156942000.0,-105177000.0,105177000.0,56161000.0,56161000.0,571455000.0,93601667.0,89144444.0,0.6,0.63,56161000.0,56161000.0,0.0,56161000.0,635000.0,55526000.0,55526000.0,-3761000.0,51765000.0,3782000.0,0.0,-105177000.0,105177000.0,154160000.0,305883000.0,135404000.0,135404000.0,170479000.0,170479000.0,460043000.0,265572000.0,725615000.0,725615000.0,2023-12-31
0.0,0.3,226147000.0,0.0,0.0,15242000.0,128586000.0,296364000.0,226147000.0,97561000.0,-96074000.0,96074000.0,15242000.0,15242000.0,632521000.0,108871429.0,89658824.0,0.14,0.17,15242000.0,15242000.0,0.0,15242000.0,529000.0,14714000.0,14714000.0,-13227000.0,1487000.0,5044000.0,0.0,-96074000.0,96074000.0,92516000.0,336157000.0,128586000.0,128586000.0,207571000.0,207571000.0,428673000.0,296364000.0,725037000.0,725037000.0,2023-09-30
0.0,0.3,301279000.0,0.0,0.0,44631000.0,148238000.0,268167000.0,301279000.0,153041000.0,-114121000.0,114121000.0,44631000.0,44631000.0,652319000.0,87511765.0,87511765.0,0.51,0.51,44631000.0,44631000.0,0.0,44631000.0,532000.0,44099000.0,44099000.0,-5179000.0,38920000.0,2313000.0,0.0,-114121000.0,114121000.0,150727000.0,384152000.0,148238000.0,148238000.0,235914000.0,235914000.0,534879000.0,268167000.0,803046000.0,803046000.0,2023-06-30
0.0,0.171295,362415000.0,0.0,0.0,121410000.0,109345000.0,213293000.0,362415000.0,253070000.0,-99618000.0,106533000.0,121410000.0,121410000.0,-44505000.0,,,,,121410000.0,121410000.0,0.0,121410000.0,-25000.0,121435000.0,121435000.0,25101000.0,146537000.0,-2364000.0,0.0,-99618000.0,106533000.0,248516000.0,-257798000.0,109345000.0,108035000.0,-24480000.0,-66334000.0,-9282000.0,213293000.0,204011000.0,204011000.0,2023-03-31
,,,0.0,0.0,,,,,,,,,,,82215068.0,82215068.0,0.73,0.73,,,,,,,,,,,0.0,,,,,,,,,,,,,2022-12-31
0.0,0.3,224895000.0,0.0,0.0,11081000.0,127409000.0,292623000.0,224895000.0,97486000.0,-95798000.0,95798000.0,11081000.0,11081000.0,665491000.0,100736364.0,100736364.0,0.11,0.11,11081000.0,11081000.0,0.0,11081000.0,597000.0,10484000.0,10484000.0,-8796000.0,1688000.0,7780000.0,0.0,-95798000.0,95798000.0,89706000.0,372868000.0,127409000.0,127409000.0,245459000.0,245459000.0,462574000.0,292623000.0,755197000.0,755197000.0,2024-06-30 00:00:00
