Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
,,620815000.0,702536000.0,2010077000.0,2912936000.0,1429838000.0,2010077000.0,17373000.0,2227773000.0,2431767000.0,2291450000.0,63677000.0,2227773000.0,1972042000.0,,,255731000.0,255731000.0,3022058000.0,261656000.0,2703000.0,,217718000.0,13724000.0,203994000.0,34137000.0,2760402000.0,301635000.0,,484818000.0,3649000.0,481169000.0,,1991000.0,1919448000.0,,,31867000.0,1887581000.0,5313508000.0,1123268000.0,153575000.0,,8750000.0,282502000.0,282502000.0,,60128000.0,217696000.0,139460000.0,78236000.0,397207000.0,,397207000.0,4441000.0,392766000.0,,,,,4190240000.0,393043000.0,,,1107639000.0,,,,86642000.0,2279150000.0,,,323766000.0,259418000.0,64348000.0,,,2023-09-30
126315250.0,126315250.0,621977000.0,656951000.0,1851043000.0,2734856000.0,1351126000.0,1851043000.0,5815000.0,2083720000.0,2305915000.0,2147975000.0,64255000.0,2083720000.0,75680000.0,1103589000.0,497817000.0,252631000.0,252631000.0,2509440000.0,270939000.0,,32217000.0,227922000.0,5727000.0,222195000.0,,2238501000.0,,19352000.0,429029000.0,88000.0,428941000.0,1795000.0,,1604103000.0,149243000.0,91000.0,,1454769000.0,4657415000.0,1067788000.0,-1000.0,160460000.0,4658000.0,34578000.0,,34578000.0,50381000.0,232677000.0,154441000.0,78236000.0,376702000.0,-252304000.0,629006000.0,0.0,14834000.0,236223000.0,320689000.0,57260000.0,0.0,3589627000.0,,160386000.0,305808000.0,637868000.0,9980000.0,285186000.0,342702000.0,191479000.0,2260927000.0,-9282000.0,2270209000.0,33159000.0,4000000.0,29159000.0,16000000.0,13159000.0,2023-03-31
,,889433000.0,970366000.0,2215884000.0,3461644000.0,1577808000.0,2215884000.0,15615000.0,2506893000.0,2772287000.0,2555020000.0,48127000.0,2506893000.0,2241562000.0,,,265331000.0,265331000.0,3602125000.0,324316000.0,2489000.0,,276978000.0,11584000.0,265394000.0,37426000.0,3277809000.0,336389000.0,,693388000.0,4031000.0,689357000.0,,6402000.0,2190770000.0,,,44472000.0,2146298000.0,6157145000.0,1301528000.0,145762000.0,,12444000.0,326875000.0,326875000.0,,56945000.0,291009000.0,212773000.0,78236000.0,461663000.0,,461663000.0,30822000.0,430841000.0,,,,,4855617000.0,415554000.0,,,922687000.0,,,,43727000.0,3170265000.0,,,303384000.0,238066000.0,65318000.0,,,2024-03-31 00:00:00
