Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Other Special Charges,Write Off,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,General And Administrative Expense,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
-75865.629152,0.163504,11498000.0,-464000.0,-464000.0,8815000.0,267000.0,5288000.0,11034000.0,10767000.0,-229000.0,229000.0,9203134.370848,8815000.0,9150000.0,,,,,8815000.0,8815000.0,0.0,8815000.0,8815000.0,8815000.0,1723000.0,10538000.0,376000.0,-688000.0,,0.0,-229000.0,229000.0,10855000.0,3862000.0,2988000.0,267000.0,267000.0,607000.0,607000.0,14717000.0,5288000.0,20005000.0,20005000.0,2024-03-31
-15910.987483,0.111266,4034000.0,-143000.0,-143000.0,3195000.0,270000.0,4222000.0,3891000.0,3621000.0,-26000.0,26000.0,3322089.012517,3195000.0,7091000.0,29045455.0,29045455.0,0.11,0.11,3195000.0,3195000.0,0.0,3195000.0,3195000.0,3195000.0,400000.0,3595000.0,265000.0,0.0,,0.0,-26000.0,26000.0,3499000.0,2869000.0,2218000.0,270000.0,270000.0,381000.0,381000.0,6368000.0,4222000.0,10590000.0,10590000.0,2023-12-31
0.0,0.0,5535000.0,-81000.0,-81000.0,5196000.0,249000.0,3284000.0,5454000.0,5205000.0,-9000.0,9000.0,5277000.0,5196000.0,6029000.0,28866667.0,28866667.0,0.18,0.18,5196000.0,5196000.0,0.0,5196000.0,5196000.0,5196000.0,0.0,5196000.0,191000.0,0.0,,,-9000.0,9000.0,5095000.0,2745000.0,1914000.0,249000.0,249000.0,582000.0,582000.0,7840000.0,3284000.0,11124000.0,11124000.0,2023-09-30
0.0,0.0,2452000.0,0.0,0.0,2193000.0,247000.0,4199000.0,2452000.0,2205000.0,-12000.0,12000.0,2193000.0,2193000.0,7116000.0,31328571.0,31328571.0,0.07,0.07,2193000.0,2193000.0,0.0,2193000.0,2193000.0,2193000.0,0.0,2193000.0,193000.0,0.0,,0.0,-12000.0,12000.0,2012000.0,2917000.0,2185000.0,247000.0,247000.0,485000.0,485000.0,4929000.0,4199000.0,9128000.0,9128000.0,2023-06-30
0.0,0.313785,1871000.0,0.0,0.0,901000.0,246000.0,3840000.0,1871000.0,1625000.0,-312000.0,312000.0,901000.0,901000.0,7235000.0,,,,,901000.0,901000.0,0.0,901000.0,901000.0,901000.0,412000.0,1313000.0,1785000.0,0.0,0.0,0.0,-312000.0,312000.0,-160000.0,3395000.0,2780000.0,246000.0,246000.0,369000.0,369000.0,3235000.0,3840000.0,7075000.0,7075000.0,2023-03-31
,,,,,,,,,,,,,,,27620000.0,27620000.0,-0.05,-0.05,,,,,,,,,,,4000000.0,5000.0,,,,,,,,,,,,,,2022-12-31
0.0,0.0,13719000.0,0.0,0.0,13436000.0,252000.0,3339000.0,13719000.0,13467000.0,-31000.0,31000.0,13436000.0,13436000.0,7506000.0,29208696.0,29208696.0,0.46,0.46,13436000.0,13436000.0,0.0,13436000.0,13436000.0,13436000.0,0.0,13436000.0,7052000.0,0.0,,,-31000.0,31000.0,6415000.0,4167000.0,3152000.0,252000.0,252000.0,763000.0,763000.0,10582000.0,3339000.0,13921000.0,13921000.0,2024-06-30 00:00:00
