Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
40004580.0,40004580.0,10001000.0,11631000.0,2213267000.0,2224898000.0,1676696000.0,2213267000.0,0.0,2213267000.0,2224898000.0,2213267000.0,0.0,2213267000.0,2173262000.0,,,40005000.0,40005000.0,61329000.0,11631000.0,,,0.0,11631000.0,0.0,11631000.0,49698000.0,46408000.0,0.0,0.0,,2939000.0,,,0.0,2939000.0,2274596000.0,548202000.0,2659000.0,,53093000.0,0.0,,,,0.0,491693000.0,,491693000.0,465485000.0,26208000.0,,,,,1726394000.0,1408000.0,,,0.0,153119000.0,1413091000.0,,,158776000.0,157146000.0,1630000.0,,2024-03-31
31584580.0,31584580.0,130194000.0,154206000.0,1805767000.0,1947390000.0,1228182000.0,1805767000.0,12583000.0,1805767000.0,1805767000.0,1805767000.0,0.0,1805767000.0,1774182000.0,,,31585000.0,31585000.0,218397000.0,12583000.0,,,0.0,12583000.0,12583000.0,0.0,205814000.0,43235000.0,141623000.0,141623000.0,,9711000.0,,,0.0,9711000.0,2024164000.0,590168000.0,,,,3137000.0,3137000.0,,,0.0,135200000.0,,135200000.0,,135200000.0,,,,,1433996000.0,8953000.0,,,0.0,22000.0,1412839000.0,,,12182000.0,753000.0,11429000.0,,2023-09-30
31584580.0,31584580.0,173806000.0,180254000.0,1773286000.0,1953540000.0,1196097000.0,1773286000.0,,1773286000.0,1773286000.0,1773286000.0,,1773286000.0,-1000.0,-354699000.0,610825000.0,31585000.0,31585000.0,236250000.0,1000.0,1000.0,0.0,,0.0,,0.0,236249000.0,30682000.0,180254000.0,180254000.0,0.0,25313000.0,3783000.0,333000.0,,21197000.0,2009536000.0,577190000.0,38000.0,0.0,,,,0.0,0.0,0.0,577152000.0,-2058422000.0,2635574000.0,,2377338000.0,8033000.0,232788000.0,17415000.0,0.0,1432346000.0,,333000.0,0.0,0.0,,1425565000.0,-717350000.0,2142914000.0,6448000.0,,6448000.0,6448000.0,2023-03-31
