Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.197728,24790400000.0,,,9353700000.0,9949000000.0,61902600000.0,24790400000.0,14841400000.0,-3206200000.0,3206200000.0,9353700000.0,9353700000.0,120373700000.0,,,,,9353700000.0,9353700000.0,0.0,9353700000.0,19100000.0,9334600000.0,,0.0,9334600000.0,2300600000.0,11635200000.0,343500000.0,,-3206200000.0,3206200000.0,14495900000.0,58471100000.0,44910500000.0,9949000000.0,9949000000.0,72967000000.0,61902600000.0,134869600000.0,134869600000.0,2024-03-31
0.0,0.3,28777600000.0,0.0,0.0,19283200000.0,6356700000.0,44868800000.0,28777600000.0,22420900000.0,-3151400000.0,3151400000.0,19283200000.0,19283200000.0,94944300000.0,1003810515.0,1003810515.0,19.21,19.21,19283200000.0,19283200000.0,0.0,19283200000.0,-3300000.0,19279900000.0,,0.0,19279900000.0,-10400000.0,19269500000.0,350800000.0,0.0,-3151400000.0,3151400000.0,22068900000.0,50075500000.0,40465100000.0,6356700000.0,6356700000.0,72144400000.0,44868800000.0,117013200000.0,117013200000.0,2023-12-31
,,,,,,,,,,,,,,,1020088097.0,1020088097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-09-30
0.0,0.042314,26831600000.0,0.0,0.0,16869400000.0,5875000000.0,53039900000.0,26831600000.0,20956600000.0,-3291100000.0,3291100000.0,16869400000.0,16869400000.0,105478000000.0,1004729005.0,1004729005.0,16.79,16.79,16869400000.0,16869400000.0,0.0,16869400000.0,-48600000.0,16918000000.0,,0.0,16918000000.0,747500000.0,17665500000.0,552900000.0,0.0,-3291100000.0,3291100000.0,20405400000.0,52438100000.0,43644500000.0,5875000000.0,5875000000.0,72843500000.0,53039900000.0,125883400000.0,125883400000.0,2023-06-30
-370740000.0,0.3,20421300000.0,-1235800000.0,-1235800000.0,12627300000.0,8728700000.0,416871100000.0,19185500000.0,10456800000.0,-3711600000.0,2401800000.0,13492360000.0,12627300000.0,334276800000.0,,,,,12627300000.0,12627300000.0,0.0,12627300000.0,-31000000.0,4656800000.0,,0.0,4656800000.0,3398200000.0,8055000000.0,-206100000.0,-1599000000.0,-3711600000.0,2401800000.0,11670000000.0,-82594300000.0,-91125500000.0,8728700000.0,8728700000.0,-70924300000.0,416871100000.0,345946800000.0,345946800000.0,2023-03-31
-1135170000.0,0.3,23944900000.0,-3783900000.0,-3783900000.0,5186700000.0,6076500000.0,55810300000.0,20161000000.0,14084500000.0,-3461200000.0,3461200000.0,7835430000.0,5186700000.0,106826000000.0,1005174419.0,1005174419.0,5.16,5.16,5186700000.0,5186700000.0,0.0,5186700000.0,-4000000.0,5182700000.0,0.0,0.0,5182700000.0,5440600000.0,10623300000.0,170600000.0,-3783900000.0,-3461200000.0,3461200000.0,17698400000.0,51015700000.0,41971000000.0,6076500000.0,6076500000.0,68714100000.0,55810300000.0,124524400000.0,124524400000.0,2022-12-31
0.0,0.280321,28738100000.0,,,13401500000.0,6829200000.0,67368500000.0,28738100000.0,21908900000.0,-3318400000.0,3318400000.0,13401500000.0,13401500000.0,114614400000.0,1006874530.0,1006874530.0,13.31,13.31,13401500000.0,13401500000.0,0.0,13401500000.0,22300000.0,13379200000.0,,,13379200000.0,5211300000.0,18590500000.0,344900000.0,,-3318400000.0,3318400000.0,21564000000.0,47245900000.0,37394700000.0,6829200000.0,6829200000.0,68809900000.0,67368500000.0,136178400000.0,136178400000.0,2024-06-30 00:00:00
