Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Fixed Assets Revaluation Reserve,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Other Receivables,Taxes Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
208659293.0,208659293.0,,,163367000.0,163367000.0,65522000.0,163367000.0,163367000.0,163367000.0,163367000.0,163367000.0,-880777000.0,,,,1044144000.0,1044144000.0,364613000.0,25994000.0,6308000.0,18055000.0,338619000.0,71001000.0,,,6233000.0,31620000.0,,,,31620000.0,527980000.0,123839000.0,6288000.0,,0.0,1091000.0,1091000.0,0.0,115913000.0,,,,,,,404141000.0,1420000.0,,,,,,1299000.0,401422000.0,184910000.0,216512000.0,,,2024-03-31
208659293.0,208659293.0,,,-109180000.0,-109180000.0,-248359000.0,-109180000.0,-109180000.0,-109180000.0,-109180000.0,-109180000.0,-1153324000.0,,,,1044144000.0,1044144000.0,374265000.0,30402000.0,6438000.0,22387000.0,343863000.0,65590000.0,,,5213000.0,38846000.0,,,,38846000.0,265085000.0,169581000.0,6397000.0,,0.0,1091000.0,1091000.0,0.0,161546000.0,,,,,,,95504000.0,8191000.0,,,,,,1110000.0,86203000.0,20386000.0,65817000.0,,,2023-09-30
208659293.0,208659293.0,106666000.0,179150000.0,-90353000.0,88797000.0,-230583000.0,-90353000.0,-90353000.0,-90353000.0,-90353000.0,-90353000.0,-1134497000.0,71042000.0,-1484552000.0,277160000.0,1044144000.0,1044144000.0,359906000.0,31805000.0,6569000.0,23226000.0,328101000.0,929000.0,179150000.0,179150000.0,25023000.0,107276000.0,69898000.0,0.0,0.0,37378000.0,269553000.0,172035000.0,6535000.0,6409000.0,0.0,1084000.0,1084000.0,0.0,163852000.0,-47088000.0,210940000.0,112243000.0,32689000.0,66008000.0,0.0,97518000.0,6075000.0,0.0,0.0,5249000.0,0.0,18930000.0,855000.0,72484000.0,18946000.0,72484000.0,65001000.0,7483000.0,2023-03-31
