Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Other Non Current Liabilities
0.0,16027457.0,16027457.0,3809064000.0,3825949000.0,-1270255000.0,2543448000.0,-3140988000.0,-1270255000.0,12246000.0,-1270255000.0,-928934000.0,-1270255000.0,-1270255000.0,-1430562000.0,-2012595000.0,507605000.0,160307000.0,160307000.0,4420049000.0,353455000.0,353319000.0,11998000.0,341321000.0,136000.0,4066594000.0,1000.0,3472630000.0,248000.0,3472382000.0,777000.0,777000.0,584044000.0,263245000.0,1360000.0,0.0,319439000.0,3149794000.0,2224188000.0,2129000.0,38338000.0,835732000.0,3000.0,3000.0,24717000.0,0.0,1323339000.0,-975757000.0,2299096000.0,28709000.0,1294630000.0,1457026000.0,588013000.0,225348000.0,0.0,925606000.0,2000.0,7523000.0,320546000.0,84419000.0,1000.0,249000.0,65619000.0,18550000.0,478000.0,4868000.0,503131000.0,-1430343000.0,1933474000.0,4639000.0,6163000.0,4639000.0,4639000.0,2023-03-31,
,16027457.0,16027457.0,3798222000.0,3822424000.0,-1355071000.0,2455107000.0,-3432038000.0,-1355071000.0,12246000.0,-1355071000.0,-1288152000.0,-1355071000.0,-1355071000.0,-1515378000.0,,,160307000.0,160307000.0,4552867000.0,80202000.0,78917000.0,11998000.0,66919000.0,1286000.0,4472665000.0,14195000.0,3743507000.0,248000.0,3743259000.0,,,373210000.0,,,0.0,373210000.0,3197796000.0,2157169000.0,28229000.0,,853032000.0,3000.0,3000.0,24666000.0,0.0,1239070000.0,,1239070000.0,28709000.0,1210361000.0,,,,,1040627000.0,316124000.0,,,113093000.0,,,,,,3701000.0,544460000.0,,,63249000.0,51293000.0,11956000.0,,2024-03-31 00:00:00,-1000.0
