Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Tradeand Other Payables Non Current,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Assets,Investmentin Financial Assets,Held To Maturity Securities,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Current Deferred Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
1084405194.0,1084405194.0,233242600000.0,240405000000.0,477952600000.0,719792400000.0,23820900000.0,477952600000.0,4002500000.0,483389900000.0,676228800000.0,526256900000.0,42867000000.0,483389900000.0,472545800000.0,,,10844100000.0,10844100000.0,395271700000.0,251702500000.0,10097400000.0,237800000.0,,31999500000.0,194949000000.0,2110100000.0,192838900000.0,13597500000.0,143569200000.0,10333100000.0,45456000000.0,1892400000.0,43563600000.0,,20717300000.0,21605500000.0,,,4491500000.0,17114000000.0,921528600000.0,754138500000.0,5854600000.0,,,137300900000.0,,137300900000.0,,199177300000.0,623400000.0,5437300000.0,5437300000.0,399413500000.0,,386275400000.0,200276600000.0,185998800000.0,,,,,167390100000.0,6859400000.0,7200000.0,,,,44857200000.0,,,,583600000.0,9506000000.0,33331300000.0,,,72245400000.0,69085500000.0,3159900000.0,,,2024-03-31
1084405194.0,1084405194.0,209368600000.0,224038300000.0,399205400000.0,622636900000.0,12483800000.0,399205400000.0,2847600000.0,401446200000.0,570857800000.0,438753800000.0,37307600000.0,401446200000.0,390602100000.0,,,10844100000.0,10844100000.0,366467500000.0,218742600000.0,,645900000.0,,27447700000.0,170637900000.0,1226300000.0,169411600000.0,13935900000.0,147724900000.0,19705500000.0,53400400000.0,1621300000.0,51779100000.0,,16073100000.0,20437900000.0,,,4391800000.0,16046100000.0,805221300000.0,645012600000.0,7037900000.0,,,82355200000.0,,82355200000.0,,203146900000.0,610200000.0,2240800000.0,2240800000.0,343154200000.0,,328613600000.0,159339000000.0,169274600000.0,,,,,160208700000.0,6104800000.0,,,,,54488500000.0,,,,563900000.0,5232500000.0,30840900000.0,,,62978100000.0,51156000000.0,11822100000.0,,,2023-09-30
1084405194.0,1084405194.0,182082400000.0,188317500000.0,382491700000.0,570303700000.0,56965500000.0,382491700000.0,2828700000.0,384814900000.0,567273500000.0,418525900000.0,33711000000.0,384814900000.0,373970800000.0,129354100000.0,954100000.0,10844100000.0,10844100000.0,320304300000.0,234321700000.0,,227500000.0,3313100000.0,33177700000.0,183893900000.0,1435300000.0,182458600000.0,13703600000.0,85982600000.0,15453500000.0,4423600000.0,1393400000.0,3030200000.0,9161600000.0,4257500000.0,55490500000.0,32722900000.0,81100000.0,4332200000.0,18354300000.0,738830200000.0,595882100000.0,7915800000.0,978300000.0,1147000000.0,67560600000.0,10819300000.0,56741300000.0,56741300000.0,207274500000.0,610100000.0,2323200000.0,2323200000.0,304555900000.0,-156250900000.0,460806800000.0,126508600000.0,1377900000.0,99861900000.0,19465300000.0,5306300000.0,208286800000.0,142948100000.0,2500000.0,10900000.0,177900000.0,486100000.0,20083900000.0,51133300000.0,27682500000.0,4437500000.0,19013300000.0,2477300000.0,6063900000.0,24003400000.0,-484000000.0,24487400000.0,38508900000.0,35102500000.0,3406400000.0,2201000000.0,1205400000.0,2023-03-31
