Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Derivative Product Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Financial Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Hedging Assets Current,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Dividends Payable
66535492.0,66535492.0,1568270000.0,3080150000.0,11225840000.0,14349630000.0,6875280000.0,11225840000.0,648710000.0,11918190000.0,13080460000.0,11918190000.0,0.0,11918190000.0,11252840000.0,,,665350000.0,665350000.0,6983200000.0,1722210000.0,,53320000.0,1658870000.0,496600000.0,1162270000.0,530000.0,5260990000.0,1013620000.0,1421280000.0,152110000.0,1269170000.0,193410000.0,2021760000.0,,187820000.0,1833940000.0,18901390000.0,6765120000.0,13400000.0,,189310000.0,,60930000.0,60930000.0,311690000.0,34090000.0,692350000.0,78160000.0,614190000.0,5384880000.0,,5384880000.0,107180000.0,5277700000.0,,,,,12136270000.0,436030000.0,,,3701480000.0,,,,10180000.0,60370000.0,4472930000.0,,,3455280000.0,2592110000.0,863170000.0,,2024-03-31,
66452227.0,66452227.0,2119330000.0,3443170000.0,10133860000.0,13541340000.0,6202320000.0,10133860000.0,734820000.0,10832990000.0,12105010000.0,10832990000.0,0.0,10832990000.0,10168470000.0,,,664520000.0,664520000.0,6446930000.0,1914490000.0,,48160000.0,1851540000.0,579520000.0,1272020000.0,590000.0,4532440000.0,992310000.0,1591630000.0,155300000.0,1436330000.0,183440000.0,1591800000.0,,99440000.0,1492360000.0,17279920000.0,6545160000.0,40140000.0,,177420000.0,,75980000.0,75980000.0,287010000.0,34480000.0,699130000.0,86980000.0,612150000.0,5104150000.0,,5104150000.0,167640000.0,4936510000.0,,,,,10734760000.0,457620000.0,,,3506140000.0,,,,130000.0,59270000.0,3379060000.0,,,3332540000.0,2743520000.0,589020000.0,,2023-09-30,
66354112.0,66354112.0,2637340000.0,3608720000.0,9828100000.0,13584470000.0,6000430000.0,9828100000.0,514170000.0,10489920000.0,11905620000.0,10489920000.0,0.0,10489920000.0,420000.0,7217700000.0,903790000.0,663540000.0,663540000.0,5851110000.0,1929130000.0,24250000.0,47620000.0,1833410000.0,417710000.0,1415700000.0,23850000.0,3921980000.0,103130000.0,1775310000.0,96460000.0,1678850000.0,179350000.0,1562070000.0,352060000.0,90710000.0,1119300000.0,16341030000.0,6418620000.0,2580000.0,193300000.0,162450000.0,59590000.0,278670000.0,278670000.0,278670000.0,36020000.0,661820000.0,37040000.0,624780000.0,4904420000.0,-5041950000.0,9946370000.0,120250000.0,26270000.0,5547000000.0,2724810000.0,1528040000.0,0.0,9922410000.0,23720000.0,48200000.0,498570000.0,2895930000.0,496030000.0,541060000.0,1858840000.0,2620000.0,39030000.0,4031310000.0,-559940000.0,4591250000.0,2383030000.0,1925820000.0,457210000.0,457210000.0,2023-03-31,
