Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Hedging Assets Current,Goodwill
492594573.0,492594573.0,3855400000.0,6049600000.0,30447600000.0,36460000000.0,11040000000.0,30447600000.0,45400000.0,30455800000.0,30671200000.0,30427900000.0,-27900000.0,30455800000.0,29963200000.0,,,492600000.0,492600000.0,14060000000.0,2030300000.0,1691300000.0,246400000.0,31000000.0,215400000.0,90000000.0,12029700000.0,173800000.0,5803200000.0,14400000.0,5788800000.0,,11000000.0,5789700000.0,,,86100000.0,5703600000.0,44487900000.0,21418200000.0,232200000.0,,5005900000.0,5005900000.0,,8200000.0,,15996800000.0,,15996800000.0,665200000.0,15331600000.0,,,,,23069700000.0,1872300000.0,,,7025200000.0,,,,,14000000.0,6556500000.0,7601700000.0,5452900000.0,2148800000.0,,,2024-03-31,,
440022573.0,440022573.0,9852500000.0,10347000000.0,25432500000.0,35732300000.0,5373800000.0,25432500000.0,52600000.0,25437900000.0,25718100000.0,25410400000.0,-27500000.0,25437900000.0,24997900000.0,,,440000000.0,440000000.0,16950000000.0,1708900000.0,1329900000.0,318000000.0,37800000.0,280200000.0,58400000.0,15241100000.0,566700000.0,10029000000.0,14800000.0,10014200000.0,,20500000.0,4420800000.0,,,97200000.0,4323600000.0,42360400000.0,21745500000.0,198200000.0,,5317000000.0,5317000000.0,,5400000.0,,16040300000.0,,16040300000.0,661100000.0,15379200000.0,,,,,20614900000.0,3714400000.0,,,8419200000.0,,,,,19600000.0,5738100000.0,2723600000.0,2281700000.0,441900000.0,,,2023-09-30,,
432707198.0,432707198.0,6365178000.0,8421234000.0,22798483000.0,31167017000.0,6374905000.0,22798483000.0,59273000.0,22805056000.0,23288130000.0,22776913000.0,-28143000.0,22805056000.0,1063696000.0,13286625000.0,5497030000.0,432707000.0,432707000.0,14004377000.0,1528383000.0,939626000.0,527274000.0,44200000.0,483074000.0,58906000.0,12475994000.0,825700000.0,7893960000.0,15073000.0,7878887000.0,1254000.0,1300000.0,3757862000.0,293870000.0,3718000.0,4388000.0,3455886000.0,36781290000.0,17930391000.0,122300000.0,339910000.0,1319133000.0,1319133000.0,0.0,6573000.0,6573000.0,16080175000.0,-7049933000.0,23130108000.0,935311000.0,15144900000.0,19605547000.0,1633454000.0,955796000.0,0.0,18850899000.0,1847600000.0,4200876000.0,1847057000.0,5442164000.0,75850000.0,2153747000.0,667673000.0,2544894000.0,264727000.0,5048937000.0,2047138000.0,50355000.0,1996783000.0,0.0,1996783000.0,2023-03-31,,
493656224.0,493656224.0,2863200000.0,3476900000.0,33645800000.0,37514600000.0,13432600000.0,33645800000.0,58000000.0,34095700000.0,34251700000.0,34204300000.0,108600000.0,34095700000.0,33602000000.0,,,493700000.0,493700000.0,10566900000.0,2504100000.0,2216700000.0,195800000.0,39800000.0,156000000.0,89000000.0,8062800000.0,194100000.0,3281100000.0,18200000.0,3262900000.0,,18800000.0,4369700000.0,,,192800000.0,4176900000.0,44771200000.0,23275800000.0,351300000.0,,6096600000.0,6096600000.0,,449900000.0,6800000.0,16202900000.0,,16202900000.0,1048600000.0,15154300000.0,,,,,21495400000.0,2436500000.0,,,6204400000.0,,,,,49600000.0,6591800000.0,6213100000.0,5657400000.0,555700000.0,,,2024-09-30 00:00:00,,443100000.0
