Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.283668,3875000.0,,,1500000.0,1781000.0,4735000.0,3875000.0,2094000.0,,,1500000.0,1500000.0,7964000.0,,,,,1500000.0,1500000.0,0.0,1500000.0,,1500000.0,1500000.0,594000.0,2094000.0,,,,2094000.0,3229000.0,1448000.0,1781000.0,1781000.0,5323000.0,4735000.0,10058000.0,10058000.0,2024-03-31
0.0,0.3,5703000.0,0.0,0.0,2240000.0,1800000.0,5131000.0,5703000.0,3903000.0,0.0,0.0,2240000.0,2240000.0,8668000.0,15457000.0,15457000.0,0.14,0.14,2240000.0,2240000.0,0.0,2240000.0,0.0,2240000.0,2240000.0,1663000.0,3903000.0,0.0,0.0,0.0,3903000.0,3537000.0,1737000.0,1800000.0,1800000.0,7440000.0,5131000.0,12571000.0,12571000.0,2023-12-31
0.0,0.0,2210000.0,0.0,0.0,410000.0,1800000.0,5260000.0,2210000.0,410000.0,0.0,0.0,410000.0,410000.0,9914000.0,15457000.0,15457000.0,0.03,0.03,410000.0,410000.0,0.0,410000.0,0.0,410000.0,410000.0,0.0,410000.0,0.0,0.0,0.0,410000.0,4654000.0,2854000.0,1800000.0,1800000.0,5064000.0,5260000.0,10324000.0,10324000.0,2023-09-30
0.0,0.0,3871000.0,0.0,0.0,2084000.0,1781000.0,,3871000.0,2090000.0,-6000.0,6000.0,2084000.0,2084000.0,7759000.0,16030769.0,16030769.0,0.13,0.13,2084000.0,2084000.0,0.0,2084000.0,0.0,2084000.0,2084000.0,0.0,2084000.0,0.0,-6000.0,6000.0,2090000.0,7759000.0,2781000.0,1781000.0,1781000.0,,,9849000.0,9849000.0,2023-06-30
0.0,0.287632,-3468123.0,,,-4299129.0,2559810.0,2567704.0,-3468123.0,-6027933.0,-7051.0,,-4299129.0,-4299129.0,6214060.0,,,,,-4299129.0,-4299129.0,0.0,-4299129.0,,-4299129.0,-4299129.0,-1735857.0,-6034986.0,,-7051.0,,-6026933.0,3646356.0,-2522296.0,2559810.0,2559810.0,-2380577.0,2567704.0,187127.0,187127.0,2023-03-31
,,,0.0,0.0,,,3441000.0,,,0.0,0.0,,,,15457000.0,15457000.0,0.002329,0.002329,,,,,0.0,,,,,0.0,0.0,0.0,,,,,,3769000.0,3441000.0,,,2022-12-31
0.0,0.260034,3756000.0,0.0,0.0,1733000.0,1414000.0,4473000.0,3756000.0,2342000.0,0.0,0.0,1733000.0,1733000.0,8422000.0,15457000.0,15457000.0,0.11,0.11,1733000.0,1733000.0,0.0,1733000.0,0.0,1733000.0,1733000.0,609000.0,2342000.0,0.0,0.0,0.0,2341000.0,3949000.0,2535000.0,1414000.0,1414000.0,6290000.0,4473000.0,10763000.0,10763000.0,2024-06-30 00:00:00
