Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Accrued Expenses,Non Current Deferred Revenue,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Investment Properties,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Financial Assets,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Hedging Assets Current
178092309.0,178092309.0,2533870000.0,21636920000.0,22434810000.0,9100570000.0,21636920000.0,2308670000.0,22209610000.0,22209610000.0,22209610000.0,22209610000.0,20428690000.0,,,1780920000.0,1780920000.0,7717240000.0,3031570000.0,8350000.0,,,,1936210000.0,1936210000.0,381590000.0,4685670000.0,333200000.0,,597660000.0,372460000.0,225200000.0,,258930000.0,2423910000.0,,,64870000.0,2359040000.0,29926850000.0,16140610000.0,114360000.0,,173370000.0,5095390000.0,5095390000.0,742660000.0,572690000.0,553560000.0,19130000.0,9301840000.0,,9301840000.0,23860000.0,9277980000.0,,,,,13786240000.0,602780000.0,,,1871460000.0,,,,,,5099740000.0,,,6212260000.0,5360800000.0,851460000.0,,,2024-03-31,,,
178036104.0,178036104.0,2759120000.0,19546780000.0,20537290000.0,6577190000.0,19546780000.0,2377290000.0,20155460000.0,20155460000.0,20155460000.0,20155460000.0,18375100000.0,,,1780360000.0,1780360000.0,7375790000.0,3031490000.0,10280000.0,,,,1993840000.0,1993840000.0,324570000.0,4344300000.0,222300000.0,,765280000.0,383450000.0,381830000.0,,243590000.0,2354680000.0,,,160490000.0,2194190000.0,27531250000.0,16609760000.0,288740000.0,,97400000.0,4976830000.0,4976830000.0,882120000.0,608680000.0,589550000.0,19130000.0,9570520000.0,,9570520000.0,81400000.0,9489120000.0,,,,,10921490000.0,724420000.0,,,2049730000.0,,,,,,5220030000.0,,,2927310000.0,2152380000.0,774930000.0,,,2023-09-30,,,
177970000.0,177970000.0,2125310000.0,18822480000.0,19803360000.0,5794730000.0,18822480000.0,1800620000.0,19478670000.0,19478670000.0,19478670000.0,19478670000.0,31810000.0,16171220000.0,342870000.0,1779750000.0,1779750000.0,6309590000.0,2429710000.0,5780000.0,0.0,5780000.0,0.0,1486630000.0,1486630000.0,256520000.0,3879880000.0,137130000.0,60030000.0,638680000.0,313990000.0,324690000.0,219030000.0,219030000.0,2529260000.0,390450000.0,1890000.0,60030000.0,2136920000.0,25788260000.0,16113650000.0,300020000.0,624070000.0,3230000.0,4486860000.0,4486860000.0,925670000.0,656190000.0,637060000.0,19130000.0,9267400000.0,-10842570000.0,20109970000.0,115400000.0,593820000.0,12312000000.0,5481240000.0,1607510000.0,0.0,9674610000.0,709470000.0,1890000.0,518800000.0,2143040000.0,48660000.0,26100000.0,2068280000.0,186750000.0,190670000.0,4657920000.0,-983690000.0,5641610000.0,1975540000.0,1170260000.0,805280000.0,134950000.0,670330000.0,2023-03-31,,,
178172842.0,178172842.0,2693640000.0,20920830000.0,21852500000.0,11548380000.0,20920830000.0,2291250000.0,21450110000.0,21450110000.0,21450110000.0,21450110000.0,19668540000.0,,,1781570000.0,1781570000.0,8473330000.0,3138850000.0,8350000.0,,,,1921510000.0,1921510000.0,485970000.0,5334480000.0,259860000.0,,772130000.0,369740000.0,402390000.0,,276080000.0,3043530000.0,,,161950000.0,2881580000.0,29923440000.0,13040580000.0,140720000.0,,238190000.0,2243720000.0,2243720000.0,686610000.0,529280000.0,510150000.0,19130000.0,9062720000.0,,9062720000.0,59390000.0,9003330000.0,,,,,16882860000.0,874100000.0,,,2443180000.0,,,,,,4765320000.0,,,8800260000.0,7611220000.0,1189040000.0,,,2024-09-30 00:00:00,,,
