Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Extraordinary,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.4,3178000.0,0.0,0.0,1368000.0,,2838000.0,3178000.0,3178000.0,0.0,0.0,1368000.0,1355000.0,4561000.0,,,,,1355000.0,1355000.0,0.0,1355000.0,1340000.0,,-13000.0,1353000.0,1825000.0,3178000.0,3589000.0,0.0,0.0,0.0,-411000.0,1723000.0,1264000.0,,,1312000.0,2838000.0,4150000.0,4150000.0,2024-03-31
0.0,0.0,3176000.0,0.0,0.0,3177000.0,,4791000.0,3176000.0,3176000.0,0.0,0.0,3177000.0,3177000.0,6907000.0,3114706.0,3114706.0,1.02,1.02,3177000.0,3177000.0,0.0,3177000.0,3176000.0,,0.0,3176000.0,0.0,3176000.0,3266000.0,0.0,0.0,0.0,-90000.0,2116000.0,1688000.0,,,2026000.0,4791000.0,6817000.0,6817000.0,2023-12-31
0.0,0.0,1873000.0,0.0,0.0,1875000.0,15000.0,15000.0,1873000.0,1873000.0,0.0,0.0,1875000.0,1875000.0,503000.0,3125000.0,3125000.0,0.6,0.6,1875000.0,1875000.0,0.0,1875000.0,1873000.0,0.0,0.0,1873000.0,0.0,1873000.0,2376000.0,0.0,0.0,0.0,-503000.0,488000.0,152000.0,15000.0,15000.0,-15000.0,15000.0,0.0,0.0,2023-09-30
0.0,0.0,801000.0,0.0,0.0,801000.0,20000.0,3236000.0,801000.0,801000.0,0.0,0.0,801000.0,785000.0,5797000.0,3140000.0,3140000.0,0.25,0.25,785000.0,785000.0,0.0,785000.0,785000.0,-16000.0,-16000.0,801000.0,0.0,801000.0,1779000.0,0.0,0.0,0.0,-978000.0,2561000.0,2232000.0,20000.0,20000.0,1583000.0,3236000.0,4819000.0,4819000.0,2023-06-30
-5565.0,0.3,-4770490.0,-18550.0,-18550.0,958650.0,,2972050.0,-4789040.0,-4789040.0,2755940.0,0.0,971635.0,946070.0,4706150.0,,,,,946070.0,946070.0,0.0,946070.0,958070.0,-12580.0,-12580.0,970650.0,-371600.0,599050.0,-1810300.0,0.0,2755940.0,0.0,-328040.0,1734100.0,-5429060.0,,,1406060.0,2972050.0,4378110.0,4378110.0,2023-03-31
,,,,,,,,,,,,,,,3000000.0,3000000.0,0.14,0.14,,,,,,0.0,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.0,3968000.0,0.0,0.0,3932000.0,,7706000.0,3968000.0,3968000.0,0.0,0.0,3932000.0,3932000.0,11810000.0,3096063.0,3096063.0,1.27,1.27,3932000.0,3932000.0,0.0,3932000.0,3968000.0,,0.0,3968000.0,0.0,3968000.0,4560000.0,0.0,0.0,0.0,-592000.0,4104000.0,3775000.0,,,3512000.0,7706000.0,11218000.0,11218000.0,2024-06-30 00:00:00
