Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
19776625.0,19776625.0,827700000.0,13912500000.0,6957000000.0,8569900000.0,1425800000.0,6957000000.0,12812500000.0,7469900000.0,7469900000.0,7469900000.0,7469900000.0,7272100000.0,,,197800000.0,197800000.0,20983400000.0,12061400000.0,126000000.0,11935400000.0,11935400000.0,8922000000.0,160000000.0,,1977100000.0,877100000.0,1100000000.0,59900000.0,6343500000.0,,,6900000.0,6336600000.0,28453300000.0,18105500000.0,324100000.0,,820600000.0,261400000.0,261400000.0,,512900000.0,497900000.0,15000000.0,16132900000.0,,16132900000.0,38400000.0,16094500000.0,,,,,10347800000.0,1391100000.0,,,8160700000.0,,,,2300000.0,,793700000.0,521400000.0,272300000.0,,,2024-03-31,
19776625.0,19776625.0,1568200000.0,14191500000.0,7039500000.0,9348400000.0,1286600000.0,7039500000.0,12473000000.0,7629900000.0,7629900000.0,7629900000.0,7629900000.0,7432100000.0,,,197800000.0,197800000.0,21020500000.0,11775700000.0,140500000.0,11635200000.0,11635200000.0,9244800000.0,87600000.0,,2556300000.0,837800000.0,1718500000.0,56000000.0,5848800000.0,,,16300000.0,5832500000.0,28650400000.0,18119000000.0,304800000.0,,826100000.0,315800000.0,315800000.0,,590400000.0,575400000.0,15000000.0,16081900000.0,,16081900000.0,94600000.0,15987300000.0,,,,,10531400000.0,1540900000.0,,,8426900000.0,,,,4000000.0,,559600000.0,409300000.0,150300000.0,,,2023-09-30,
19772463.0,19772463.0,1326903000.0,13316616000.0,7869098000.0,9968249000.0,2844575000.0,7869098000.0,11838352000.0,8489985000.0,8489985000.0,8489985000.0,8489985000.0,127506000.0,3279672000.0,4869606000.0,197725000.0,197725000.0,18935303000.0,11202638000.0,125304000.0,11077334000.0,11077334000.0,7732665000.0,86791000.0,28767000.0,2239282000.0,761018000.0,1478264000.0,50819000.0,5356317000.0,472957000.0,42000.0,28767000.0,4883318000.0,27425288000.0,16848048000.0,449172000.0,344475000.0,530722000.0,0.0,321227000.0,0.0,620887000.0,605887000.0,15000000.0,15140502000.0,-1977189000.0,17117691000.0,1306865000.0,13833637000.0,4523413000.0,10855770000.0,431643000.0,0.0,10577240000.0,1331043000.0,20924000.0,1376958000.0,8706337000.0,24915000.0,8681422000.0,24915000.0,236259000.0,0.0,236762000.0,85401000.0,151361000.0,62303000.0,89058000.0,2023-03-31,
