Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Discontinuous Operations,Net Income Continuous Operations,Tax Provision,Pretax Income,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.0,153000.0,-6942000.0,8000.0,153000.0,145000.0,-7087000.0,7087000.0,-6942000.0,-9331000.0,8000.0,,,,,-9331000.0,-9331000.0,0.0,-9331000.0,-9331000.0,-2389000.0,-6942000.0,0.0,-6942000.0,-7087000.0,7087000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2024-03-31
0.0,0.0,0.0,-7112000.0,8000.0,0.0,-8000.0,-7104000.0,7104000.0,-7112000.0,-9463000.0,8000.0,49805263.0,49805263.0,-0.19,-0.19,-9463000.0,-9463000.0,0.0,-9463000.0,-9463000.0,-2351000.0,-7112000.0,0.0,-7112000.0,-7104000.0,7104000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2023-12-31
0.0,0.0,0.0,-7066000.0,8000.0,0.0,-8000.0,-7058000.0,7058000.0,-7066000.0,-9083000.0,8000.0,50461111.0,50461111.0,-0.18,-0.18,-9083000.0,-9083000.0,0.0,-9083000.0,-9083000.0,-2017000.0,-7066000.0,0.0,-7066000.0,-7058000.0,7058000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2023-09-30
0.0,0.0,0.0,-6928000.0,8000.0,0.0,-8000.0,-6920000.0,6920000.0,-6928000.0,-10852000.0,8000.0,49327273.0,49327273.0,-0.22,-0.22,-10852000.0,-10852000.0,0.0,-10852000.0,-10852000.0,-3924000.0,-6928000.0,0.0,-6928000.0,-6920000.0,6920000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2023-06-30
0.0,0.0,0.0,-6792000.0,7000.0,0.0,-7000.0,-6785000.0,6785000.0,-6792000.0,-8979000.0,7000.0,,,,,-8979000.0,-8979000.0,0.0,-8979000.0,-8979000.0,-2187000.0,-6792000.0,0.0,-6792000.0,-6785000.0,6785000.0,-7000.0,7000.0,7000.0,7000.0,0.0,0.0,2023-03-31
,,,,,,,,,,,,48764706.0,48764706.0,-0.17,-0.17,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.0,0.0,-7196000.0,8000.0,0.0,-8000.0,-7188000.0,7188000.0,-7196000.0,-10609000.0,8000.0,50519048.0,50519048.0,-0.21,-0.21,-10609000.0,-10609000.0,0.0,-10609000.0,-10609000.0,-3413000.0,-7196000.0,0.0,-7196000.0,-7188000.0,7188000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2024-06-30 00:00:00
0.0,0.0,0.0,-7339000.0,8000.0,0.0,-8000.0,-7331000.0,7331000.0,-7339000.0,-8781000.0,8000.0,48783333.0,48783333.0,-0.18,-0.18,-8781000.0,-8781000.0,0.0,-8781000.0,-8781000.0,-1442000.0,-7339000.0,0.0,-7339000.0,-7331000.0,7331000.0,-8000.0,8000.0,8000.0,8000.0,0.0,0.0,2024-09-30 00:00:00
