Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
31995000.0,31995000.0,976955000.0,1007109000.0,1933669000.0,2940778000.0,1744731000.0,1933669000.0,1933669000.0,2394877000.0,1933669000.0,1933669000.0,1869679000.0,,,63990000.0,63990000.0,1401861000.0,602479000.0,134336000.0,6935000.0,461208000.0,461208000.0,799382000.0,26569000.0,545901000.0,545901000.0,16535000.0,208869000.0,,,208869000.0,3335530000.0,791418000.0,1000.0,,,18998000.0,18998000.0,772419000.0,,772419000.0,0.0,772419000.0,,,,,2544113000.0,661273000.0,,,832434000.0,,,,,33363000.0,978308000.0,,,38735000.0,8581000.0,30154000.0,,2024-03-31
31995000.0,31995000.0,1481411000.0,1481989000.0,1881608000.0,3363597000.0,1432214000.0,1881608000.0,1881608000.0,2233446000.0,1881608000.0,1881608000.0,1817618000.0,,,63990000.0,63990000.0,1771465000.0,354035000.0,,2197000.0,351838000.0,351838000.0,1417430000.0,23970000.0,1130151000.0,1130151000.0,12879000.0,248203000.0,,,248203000.0,3653073000.0,803428000.0,,,,21448000.0,21448000.0,781980000.0,,781980000.0,0.0,781980000.0,,,,,2849644000.0,820259000.0,,,958036000.0,,,,,9659000.0,1049937000.0,,,11753000.0,11175000.0,578000.0,,2023-09-30
31995000.0,31995000.0,2199751000.0,2200691000.0,1476431000.0,3677122000.0,1247631000.0,1476431000.0,1476431000.0,2060104000.0,1476431000.0,1476431000.0,-1000.0,1076081000.0,21020000.0,63990000.0,63990000.0,2765291000.0,591931000.0,,8258000.0,583673000.0,583673000.0,2173360000.0,150177000.0,1617018000.0,1617018000.0,18155000.0,393002000.0,7912000.0,0.0,385090000.0,4241722000.0,820731000.0,-1000.0,17920000.0,5866000.0,219000.0,219000.0,796727000.0,-830450000.0,1627177000.0,1441000.0,85609000.0,1178996000.0,85152000.0,275979000.0,0.0,3420991000.0,1000.0,156106000.0,561187000.0,1450854000.0,56778000.0,654854000.0,739222000.0,3832000.0,42093000.0,1205978000.0,0.0,1205978000.0,940000.0,10562000.0,940000.0,940000.0,2023-03-31
