Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Revenue,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Taxes Receivable,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date
70707229.0,70707229.0,5559800000.0,5565800000.0,-4149500000.0,1417300000.0,-5808600000.0,-4149500000.0,-4148500000.0,-4148500000.0,-4148500000.0,-4148500000.0,-4855600000.0,,,707100000.0,707100000.0,6304600000.0,28500000.0,,6900000.0,21600000.0,6276100000.0,25600000.0,5565800000.0,5565800000.0,,2700000.0,288800000.0,,288800000.0,2156100000.0,1688600000.0,276200000.0,,0.0,0.0,,,1000000.0,1000000.0,1411400000.0,,1411400000.0,0.0,1411400000.0,,,,,467500000.0,18600000.0,,,72200000.0,,,,,11100000.0,99700000.0,,,265900000.0,259900000.0,6000000.0,,2023-09-30
70707229.0,70707229.0,5554988000.0,5565763000.0,-4090516000.0,1476030000.0,-5821530000.0,-4090516000.0,-4089733000.0,-4089733000.0,-4089733000.0,-4089733000.0,-4796800000.0,-5404473000.0,530639000.0,707072000.0,707072000.0,6256316000.0,26285000.0,19379000.0,6906000.0,19400000.0,6230031000.0,19900000.0,5565763000.0,5565763000.0,2674000.0,2700000.0,620271000.0,275102000.0,345169000.0,2166583000.0,1758082000.0,-2000.0,276331000.0,0.0,0.0,0.0,0.0,783000.0,783000.0,1480970000.0,-3478331000.0,4959301000.0,0.0,1481000000.0,4060867000.0,864325000.0,34109000.0,0.0,408501000.0,42735000.0,3066000.0,10471000.0,55307000.0,266000.0,21607000.0,17440000.0,15994000.0,10500000.0,29306000.0,-1032991000.0,1062297000.0,267616000.0,256841000.0,10775000.0,10775000.0,2023-03-31
