Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,EBITDA,EBIT,Net Interest Income,Interest Expense,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Total Revenue,Operating Revenue,Date
0.0,0.268721,452700000.0,287100000.0,56600000.0,452700000.0,396100000.0,-3500000.0,3500000.0,287100000.0,287100000.0,1123200000.0,,,,,287100000.0,287100000.0,0.0,287100000.0,287100000.0,287100000.0,105500000.0,392600000.0,25100000.0,-3500000.0,3500000.0,371000000.0,1123200000.0,357300000.0,56600000.0,56600000.0,1494200000.0,1494200000.0,2024-03-31
0.0,0.268635,460500000.0,297300000.0,52200000.0,460500000.0,408300000.0,-1800000.0,1800000.0,297300000.0,297300000.0,943900000.0,16959498.0,16959498.0,17.53,17.53,297300000.0,297300000.0,0.0,297300000.0,297300000.0,297300000.0,109200000.0,406500000.0,14100000.0,-1800000.0,1800000.0,394200000.0,943900000.0,309100000.0,52200000.0,52200000.0,1338100000.0,1338100000.0,2023-12-31
0.0,0.26379,455100000.0,300300000.0,45600000.0,455100000.0,409500000.0,-1600000.0,1600000.0,300300000.0,300300000.0,935700000.0,16966102.0,16966102.0,17.7,17.7,300300000.0,300300000.0,0.0,300300000.0,300300000.0,300300000.0,107600000.0,407900000.0,49500000.0,-1600000.0,1600000.0,360000000.0,935700000.0,323800000.0,45600000.0,45600000.0,1295700000.0,1295700000.0,2023-09-30
0.0,0.252959,452700000.0,303000000.0,45400000.0,452700000.0,407300000.0,-1700000.0,1700000.0,303000000.0,303000000.0,951200000.0,16984305.0,16984305.0,17.84,17.84,303000000.0,303000000.0,0.0,303000000.0,303000000.0,303000000.0,102600000.0,405600000.0,33400000.0,-1700000.0,1700000.0,373900000.0,951200000.0,330100000.0,45400000.0,45400000.0,1325100000.0,1325100000.0,2023-06-30
0.0,0.253051,482180000.0,321333000.0,48808000.0,482180000.0,433372000.0,29506000.0,3178000.0,321333000.0,321333000.0,802317000.0,,,,,321333000.0,321333000.0,0.0,321333000.0,321333000.0,321333000.0,108861000.0,430194000.0,-41531000.0,29506000.0,3178000.0,466288000.0,800374000.0,-65500000.0,48808000.0,-49791000.0,1268605000.0,1268605000.0,2023-03-31
,,,,,,,,,,,,17112269.0,17112269.0,17.28,17.28,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.282428,431000000.0,258900000.0,68400000.0,431000000.0,362600000.0,-1800000.0,1800000.0,258900000.0,258900000.0,1465100000.0,16965924.0,16954813.0,15.26,15.27,258900000.0,258900000.0,0.0,258900000.0,258900000.0,258900000.0,101900000.0,360800000.0,20500000.0,-1800000.0,1800000.0,342100000.0,1465100000.0,501800000.0,68400000.0,68400000.0,1807200000.0,1807200000.0,2024-06-30 00:00:00
