Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Derivative Product Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Other Investments,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Properties,Current Assets,Other Current Assets,Other Receivables,Taxes Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date
88516167.0,88516167.0,67216250000.0,73021020000.0,21210900000.0,94235870000.0,89497450000.0,21210900000.0,21214850000.0,94235870000.0,21214850000.0,21214850000.0,21037820000.0,,,177030000.0,177030000.0,74124710000.0,73969910000.0,83100000.0,3440000.0,,73021020000.0,73021020000.0,73840000.0,154800000.0,,,,,154800000.0,39950000.0,114850000.0,95339560000.0,5687310000.0,125120000.0,,31250000.0,,5228830000.0,5228830000.0,3950000.0,3950000.0,298160000.0,,298160000.0,298160000.0,,,,89652250000.0,,81434380000.0,2780000.0,8215090000.0,2410320000.0,5804770000.0,,,2024-03-31
88172052.0,88172052.0,55868080000.0,60017600000.0,19464210000.0,79484920000.0,75006860000.0,19464210000.0,19467320000.0,79484920000.0,19467320000.0,19467320000.0,19290980000.0,,,176340000.0,176340000.0,60966980000.0,60809940000.0,68080000.0,,,60017600000.0,60017600000.0,80320000.0,157040000.0,,,,,157040000.0,43090000.0,113950000.0,80434300000.0,5270400000.0,125530000.0,,34460000.0,,4851070000.0,4851070000.0,3110000.0,3110000.0,256230000.0,,256230000.0,256230000.0,,,,75163900000.0,,70253330000.0,25560000.0,4885010000.0,735490000.0,4149520000.0,,,2023-09-30
88016767.0,88016767.0,45779080000.0,48134730000.0,18169600000.0,66308120000.0,2768840000.0,18169600000.0,18173390000.0,55592660000.0,18173390000.0,18173390000.0,239890000.0,5336600000.0,11055390000.0,176030000.0,176030000.0,49196860000.0,37559580000.0,98980000.0,,0.0,37419270000.0,37419270000.0,52640000.0,11637280000.0,50870000.0,10715460000.0,10715460000.0,6920000.0,149130000.0,,149130000.0,67370250000.0,52964130000.0,8610000.0,6440000.0,28320000.0,423900000.0,800840000.0,800840000.0,3790000.0,3790000.0,253470000.0,-232110000.0,485580000.0,253470000.0,171060000.0,314520000.0,0.0,14406120000.0,79560000.0,8518240000.0,6440000.0,5808320000.0,3452670000.0,2355650000.0,741880000.0,1613770000.0,2023-03-31
