Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Current Provisions,Payables,Other Payable,Dividends Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Financial Assets Designatedas Fair Value Through Profitor Loss Total,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Restricted Cash,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Financial,Date,Pensionand Other Post Retirement Benefit Plans Current,Cash Equivalents
,,1992232000.0,2013457000.0,1387459000.0,3396335000.0,1097792000.0,1387459000.0,5088000.0,1387966000.0,1754515000.0,1387966000.0,0.0,1387966000.0,1099605000.0,,,288361000.0,288361000.0,2810918000.0,399080000.0,,,,369932000.0,3383000.0,366549000.0,3336000.0,2411838000.0,35563000.0,,1643525000.0,1705000.0,1641820000.0,14486000.0,201268000.0,,,,201268000.0,4198884000.0,689254000.0,5147000.0,,148998000.0,25864000.0,25864000.0,,507000.0,507000.0,,487289000.0,,487289000.0,0.0,487289000.0,,,,,3509630000.0,387692000.0,98658000.0,,,1037874000.0,,,,,81851000.0,1743128000.0,,,160427000.0,144290000.0,16137000.0,,2024-03-31,,
,,2304144000.0,2331253000.0,1243062000.0,3569057000.0,634358000.0,1243062000.0,5838000.0,1243642000.0,1427694000.0,1243642000.0,0.0,1243642000.0,955281000.0,,,288361000.0,288361000.0,3112970000.0,193643000.0,1000.0,,,188338000.0,4286000.0,184052000.0,3884000.0,2919327000.0,,,2142915000.0,1552000.0,2141363000.0,22849000.0,613535000.0,,,,613535000.0,4356612000.0,802927000.0,5158000.0,18752000.0,160859000.0,33178000.0,33178000.0,,580000.0,580000.0,,584400000.0,,584400000.0,0.0,584400000.0,,,,,3553685000.0,631300000.0,,,,813169000.0,,,,,26806000.0,1965052000.0,,,117358000.0,96087000.0,21271000.0,,2023-09-30,,
138555575.0,138555575.0,2357230000.0,2539214000.0,1143430000.0,3527252000.0,477057000.0,1143430000.0,156129000.0,1144167000.0,1307390000.0,1144167000.0,0.0,1144167000.0,14625000.0,220158000.0,416371000.0,277111000.0,277111000.0,3247489000.0,310866000.0,,4978000.0,0.0,304468000.0,141245000.0,163223000.0,4978000.0,2936623000.0,,0.0,2234746000.0,14884000.0,2219862000.0,2629000.0,692019000.0,4133000.0,37000.0,0.0,687849000.0,4391656000.0,977976000.0,5372000.0,26400000.0,172238000.0,30571000.0,24266000.0,6305000.0,737000.0,737000.0,0.0,748030000.0,-69817000.0,817847000.0,103054000.0,4599000.0,255490000.0,181414000.0,273290000.0,0.0,3413680000.0,18534000.0,,88375000.0,461146000.0,689383000.0,210376000.0,291933000.0,62876000.0,124198000.0,33456000.0,2096931000.0,-582984000.0,2679915000.0,25855000.0,96075000.0,25855000.0,25855000.0,2023-03-31,,
