Ordinary Shares Number,Share Issued,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Provisions,Payables,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Assets Held For Sale Current,Inventory,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Date,Retained Earnings,Additional Paid In Capital,Non Current Deferred Revenue,Current Deferred Taxes Liabilities,Other Payable,Dividends Payable,Non Current Prepaid Assets,Accumulated Depreciation,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Restricted Cash,Prepaid Assets,Finished Goods,Raw Materials,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Equivalents,Cash Financial
107619019.0,107619019.0,21632070000.0,21632070000.0,18657566000.0,21632070000.0,21632070000.0,21632070000.0,21632312000.0,242000.0,21632070000.0,21416832000.0,215238000.0,215238000.0,6704442000.0,1049935000.0,326003000.0,692715000.0,31217000.0,5654507000.0,62648000.0,2069000.0,5517105000.0,18688000.0,5498417000.0,28336754000.0,4024681000.0,201383000.0,127110000.0,112880000.0,112880000.0,0.0,0.0,,,3516366000.0,3516366000.0,2757377000.0,758989000.0,24312073000.0,2943305000.0,0.0,258513000.0,300000000.0,0.0,7410641000.0,13399614000.0,13055518000.0,344096000.0,2024-03-31,,,,,,,,,,,,,,,,,,,,
107619019.0,107619019.0,19872744000.0,19872744000.0,19527992000.0,19872744000.0,19872744000.0,19872744000.0,19873000000.0,256000.0,19872744000.0,19657506000.0,215238000.0,215238000.0,9241817000.0,2471767000.0,1620513000.0,851254000.0,,6770050000.0,71893000.0,58607000.0,5971954000.0,132127000.0,5839827000.0,29114817000.0,2816775000.0,,,162931000.0,162931000.0,0.0,0.0,,,2600419000.0,2600419000.0,1811480000.0,788939000.0,26298042000.0,3234163000.0,0.0,327344000.0,1262590000.0,0.0,6695262000.0,14778683000.0,14153375000.0,625308000.0,2023-09-30,,,,,,,,,,,,,,,,,,,,
107619019.0,107619019.0,19406456000.0,19406456000.0,20009312000.0,19406456000.0,19406456000.0,19406456000.0,19406719000.0,263000.0,19406456000.0,19191218000.0,215238000.0,215238000.0,8386800000.0,2560193000.0,1842780000.0,717413000.0,,5826607000.0,104329000.0,55818000.0,5267734000.0,65471000.0,5202263000.0,27793519000.0,1957600000.0,46000.0,,145620000.0,145620000.0,,,0.0,0.0,1758241000.0,1758241000.0,945972000.0,812269000.0,25835919000.0,1964505000.0,117361000.0,1010511000.0,1422596000.0,327000.0,6413122000.0,14907497000.0,14423458000.0,484039000.0,2023-03-31,,,,,,,,,,,,,,,,,,,,
