Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Long Term Provisions,Current Liabilities,Other Current Liabilities,Current Deferred Taxes Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Prepaid Assets,Inventory,Other Inventories,Finished Goods,Raw Materials,Other Receivables,Taxes Receivable,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Non Current Prepaid Assets,Investment Properties
16432200.0,16432200.0,420820000.0,425170000.0,221775000.0,647276000.0,149833000.0,221775000.0,,222106000.0,274549000.0,222372000.0,266000.0,222106000.0,57784000.0,,164322000.0,164322000.0,607237000.0,53623000.0,1000.0,,197000.0,52443000.0,,52443000.0,982000.0,553614000.0,3798000.0,,372727000.0,,372727000.0,,9449000.0,167640000.0,,,167640000.0,829609000.0,126163000.0,880000.0,0.0,16839000.0,16839000.0,331000.0,331000.0,,108113000.0,,108113000.0,26253000.0,81860000.0,,,,,703447000.0,16709000.0,,9636000.0,,,,112041000.0,6143000.0,551051000.0,7867000.0,3517000.0,4350000.0,,,2024-03-31,,
16432200.0,16432200.0,124123000.0,155097000.0,205316000.0,360795000.0,176452000.0,205316000.0,0.0,205698000.0,207669000.0,205698000.0,,205698000.0,41376000.0,28344000.0,164322000.0,164322000.0,286101000.0,3508000.0,,1537000.0,0.0,1971000.0,0.0,1971000.0,1537000.0,282593000.0,1000.0,7090000.0,153126000.0,0.0,153126000.0,78000.0,230000.0,120992000.0,3078000.0,735000.0,117179000.0,491799000.0,32754000.0,,2499000.0,1092000.0,1092000.0,382000.0,382000.0,0.0,28673000.0,-22449000.0,51122000.0,0.0,6492000.0,21002000.0,23171000.0,457000.0,0.0,459045000.0,-1000.0,10180000.0,6153000.0,1080000.0,2885000.0,2188000.0,34372000.0,9139000.0,366481000.0,32721000.0,1747000.0,30974000.0,0.0,30974000.0,2023-03-31,,
