Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Total Unusual Items,Total Unusual Items Excluding Goodwill,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Rent Expense Supplemental,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Otherunder Preferred Stock Dividend,Net Income,Minority Interests,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Non Operating Income Expenses,Special Income Charges,Write Off,Net Non Operating Interest Income Expense,Total Other Finance Cost,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Other Operating Expenses,Depreciation And Amortization In Income Statement,Depreciation Income Statement,Selling General And Administration,Selling And Marketing Expense,General And Administrative Expense,Rent And Landing Fees,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Date
0.0,0.318538,1195500000.0,,,652500000.0,191300000.0,2531200000.0,1195500000.0,1004200000.0,-46700000.0,46700000.0,,652500000.0,652500000.0,4073900000.0,,,,,,652500000.0,652500000.0,0.0,652500000.0,,652500000.0,652500000.0,305000000.0,957500000.0,20400000.0,,,-46700000.0,,46700000.0,,983800000.0,1542700000.0,977400000.0,191300000.0,191300000.0,,,,,2526500000.0,2531200000.0,5057700000.0,5057700000.0,2024-03-31
0.0,0.285289,970700000.0,,,527600000.0,187700000.0,2444300000.0,970700000.0,783000000.0,-44800000.0,44800000.0,,527600000.0,527600000.0,3717900000.0,,90652921.0,90652921.0,5.82,5.82,527600000.0,527600000.0,0.0,527600000.0,,527600000.0,527600000.0,210600000.0,738200000.0,13900000.0,,,-44800000.0,,44800000.0,,769000000.0,1273600000.0,724300000.0,187700000.0,187700000.0,,,,,2042600000.0,2444300000.0,4486900000.0,4486900000.0,2023-12-31
0.0,0.226322,889700000.0,0.0,0.0,518000000.0,181400000.0,2522500000.0,889700000.0,708300000.0,-38900000.0,38900000.0,,518000000.0,518000000.0,3699500000.0,,90559441.0,90559441.0,5.72,5.72,518000000.0,518000000.0,0.0,518000000.0,0.0,517900000.0,517900000.0,151500000.0,669400000.0,9800000.0,0.0,,-38900000.0,,38900000.0,,698500000.0,1177000000.0,679600000.0,181400000.0,181400000.0,,,,,1875500000.0,2522500000.0,4398000000.0,4398000000.0,2023-09-30
0.0,0.263832,853500000.0,,,470900000.0,172000000.0,2709200000.0,853500000.0,681500000.0,-41700000.0,41700000.0,,470900000.0,470900000.0,3906900000.0,,90557692.0,90557692.0,5.2,5.2,470900000.0,470900000.0,0.0,470900000.0,0.0,471000000.0,471000000.0,168800000.0,639800000.0,4800000.0,,,-41700000.0,,41700000.0,,676700000.0,1197700000.0,693200000.0,172000000.0,172000000.0,,,,,1874400000.0,2709200000.0,4583600000.0,4583600000.0,2023-06-30
-1231292.681683,0.271329,806425000.0,-4538000.0,-4538000.0,428760000.0,159511000.0,3550710000.0,801887000.0,642376000.0,-52939000.0,53962000.0,6453000.0,432066707.318317,428760000.0,4197051000.0,2885000.0,,,,,428760000.0,428760000.0,0.0,428760000.0,,428760000.0,428760000.0,159654000.0,588414000.0,1995000.0,-4538000.0,65000.0,-52939000.0,5430000.0,53962000.0,6453000.0,643795000.0,646341000.0,2805724000.0,159511000.0,159511000.0,161484000.0,143036000.0,18448000.0,2885000.0,1290136000.0,3550710000.0,4840846000.0,4840846000.0,2023-03-31
,,,6000.0,6000.0,,,,,,,,,,,,,90626008.0,90626008.0,5.262286,5.262286,,,,,,,,,,,6000.0,,,,,,,,,,,,,,,,,,,2022-12-31
0.0,0.247339,986772000.0,0.0,0.0,554535000.0,201675000.0,3382413000.0,986772000.0,785097000.0,-48331000.0,48331000.0,,554535000.0,554535000.0,4792000000.0,,90610294.0,90610294.0,6.12,6.12,554535000.0,554535000.0,0.0,554535000.0,,554535000.0,554535000.0,182231000.0,736766000.0,22162000.0,0.0,,-48331000.0,,48331000.0,,762934000.0,1409587000.0,815575000.0,201675000.0,201675000.0,,,,,2172521000.0,3382413000.0,5554934000.0,5554934000.0,2024-06-30 00:00:00
