Ordinary Shares Number,Share Issued,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Capital Lease Obligations,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Pension And Other Postretirement Benefit Plans,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Capital Lease Obligation,Current Debt,Pensionand Other Post Retirement Benefit Plans Current,Current Provisions,Payables,Other Payable,Total Tax Payable,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Non Current Prepaid Assets,Non Current Deferred Taxes Assets,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Subsidiariesat Cost,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Machinery Furniture Equipment,Buildings And Improvements,Land And Improvements,Properties,Current Assets,Other Current Assets,Restricted Cash,Prepaid Assets,Inventory,Finished Goods,Work In Process,Raw Materials,Other Receivables,Accounts Receivable,Allowance For Doubtful Accounts Receivable,Gross Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Other Short Term Investments,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Treasury Shares Number
,,425119000.0,2488726000.0,2644893000.0,1942248000.0,2488726000.0,283074000.0,2502848000.0,2582628000.0,2725682000.0,222834000.0,2502848000.0,2395205000.0,,,107643000.0,107643000.0,1412043000.0,383723000.0,20315000.0,,22086000.0,341322000.0,261542000.0,79780000.0,1028320000.0,258398000.0,83797000.0,21532000.0,62265000.0,,111762000.0,406645000.0,,,406645000.0,4137725000.0,1167157000.0,6047000.0,,28267000.0,26362000.0,26362000.0,0.0,0.0,14122000.0,14122000.0,1092359000.0,,1092359000.0,22391000.0,1069968000.0,,,,,2970568000.0,224548000.0,,,624657000.0,,,,,1355850000.0,,,765513000.0,164440000.0,601073000.0,,,2024-03-31,
,,489240000.0,2187700000.0,2400755000.0,1665728000.0,2187700000.0,285945000.0,2197460000.0,2310715000.0,2424153000.0,226693000.0,2197460000.0,2090199000.0,,,107261000.0,107261000.0,1508338000.0,425720000.0,21291000.0,,24190000.0,380239000.0,266984000.0,113255000.0,1082618000.0,261680000.0,109001000.0,18961000.0,90040000.0,,131125000.0,436294000.0,,,436294000.0,3932491000.0,1184144000.0,4955000.0,,25594000.0,22204000.0,22204000.0,0.0,0.0,9760000.0,9760000.0,1121631000.0,,1121631000.0,17074000.0,1104557000.0,,,,,2748346000.0,221641000.0,,,682133000.0,,,,,1301194000.0,,,543378000.0,170487000.0,372891000.0,,,2023-09-30,
10700958.0,10700958.0,453079000.0,1956375000.0,2121574000.0,1431542000.0,1956375000.0,294559000.0,1963054000.0,2066209000.0,2194934000.0,231880000.0,1963054000.0,19698000.0,1580413000.0,152010000.0,107010000.0,107010000.0,1448107000.0,420267000.0,18649000.0,18649000.0,22562000.0,379056000.0,275901000.0,103155000.0,1027840000.0,99639000.0,74023000.0,18658000.0,55365000.0,205713000.0,89401000.0,598455000.0,116314000.0,8115000.0,474026000.0,3643041000.0,1183659000.0,5467000.0,12006000.0,19446000.0,8010000.0,8010000.0,0.0,0.0,6679000.0,6679000.0,1131020000.0,-313681000.0,1444701000.0,16447000.0,1114573000.0,730840000.0,509170000.0,188244000.0,0.0,2459382000.0,180827000.0,116686000.0,183359000.0,589953000.0,357048000.0,89363000.0,143542000.0,2676000.0,1080453000.0,-8902000.0,1089355000.0,486255000.0,58300000.0,427955000.0,10973000.0,416982000.0,2023-03-31,
