Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Working Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Total Non Current Liabilities Net Minority Interest,Other Non Current Liabilities,Non Current Deferred Taxes Liabilities,Long Term Debt And Capital Lease Obligation,Long Term Debt,Current Liabilities,Other Current Liabilities,Current Debt And Capital Lease Obligation,Current Debt,Current Provisions,Payables,Accounts Payable,Total Assets,Total Non Current Assets,Other Non Current Assets,Investmentin Financial Assets,Available For Sale Securities,Goodwill And Other Intangible Assets,Other Intangible Assets,Net PPE,Gross PPE,Construction In Progress,Other Properties,Current Assets,Other Current Assets,Inventory,Other Receivables,Accounts Receivable,Cash Cash Equivalents And Short Term Investments,Cash And Cash Equivalents,Date
25373056.0,25373056.0,,13018000.0,112863000.0,125881000.0,-304750000.0,112863000.0,112863000.0,125881000.0,117813000.0,4950000.0,112863000.0,-140868000.0,253731000.0,253731000.0,620947000.0,21150000.0,,0.0,13018000.0,13018000.0,599797000.0,14084000.0,,,4726000.0,9804000.0,9804000.0,738760000.0,443712000.0,75157000.0,,,0.0,,368525000.0,368525000.0,0.0,368525000.0,295047000.0,20871000.0,0.0,253000.0,27063000.0,246860000.0,246860000.0,2024-03-31
349445.0,349445.0,21561000.0,23611000.0,-1492303000.0,-1079842000.0,-1960921000.0,-1492303000.0,-1103453000.0,-1103453000.0,-1103453000.0,0.0,-1103453000.0,-1452898000.0,349445000.0,349445000.0,2132109000.0,119019000.0,-1000.0,119020000.0,,,2013090000.0,148015000.0,23611000.0,23611000.0,953000.0,29074000.0,29074000.0,1028656000.0,976486000.0,1000.0,75157000.0,75157000.0,388850000.0,388850000.0,512478000.0,512478000.0,140344000.0,372134000.0,52169000.0,17272000.0,27101000.0,27000.0,5719000.0,2050000.0,2050000.0,2023-09-30
349445.0,349445.0,21419000.0,23611000.0,-1486727000.0,-972905000.0,-1956086000.0,-1486727000.0,-996516000.0,-996516000.0,-996516000.0,,-996516000.0,-1345961000.0,349445000.0,349445000.0,2126296000.0,119019000.0,-1000.0,119020000.0,,,2007277000.0,164095000.0,23611000.0,23611000.0,1973000.0,28847000.0,28847000.0,1129780000.0,1078589000.0,1000.0,75157000.0,75157000.0,490211000.0,490211000.0,513220000.0,513220000.0,140344000.0,372876000.0,51191000.0,16152000.0,27101000.0,27000.0,5719000.0,2192000.0,2192000.0,2023-03-31
