Treasury Shares Number,Ordinary Shares Number,Share Issued,Net Debt,Total Debt,Tangible Book Value,Invested Capital,Net Tangible Assets,Common Stock Equity,Total Capitalization,Total Equity Gross Minority Interest,Minority Interest,Stockholders Equity,Other Equity Interest,Retained Earnings,Additional Paid In Capital,Capital Stock,Common Stock,Total Liabilities Net Minority Interest,Long Term Debt And Capital Lease Obligation,Payables,Other Payable,Accounts Payable,Total Assets,Investments And Advances,Investmentin Financial Assets,Available For Sale Securities,Long Term Equity Investment,Investmentsin Associatesat Cost,Goodwill And Other Intangible Assets,Goodwill,Net PPE,Accumulated Depreciation,Gross PPE,Construction In Progress,Other Properties,Properties,Prepaid Assets,Receivables,Cash And Cash Equivalents,Cash Equivalents,Cash Financial,Date,Buildings And Improvements,Cash Cash Equivalents And Federal Funds Sold
,3086570375.0,3086570375.0,1117063700000.0,2281995500000.0,1567342800000.0,3852230700000.0,1567342800000.0,1570235200000.0,3852230700000.0,1575229600000.0,4994400000.0,1570235200000.0,8944900000.0,,,6173100000.0,6173100000.0,13607155700000.0,2281995500000.0,,,,15182385300000.0,3323537400000.0,3323537400000.0,,,,2892400000.0,2892400000.0,58375600000.0,,,,,,,,1164931800000.0,,860774900000.0,2024-03-31,,
0.0,3084019057.0,3084019057.0,1326279100000.0,2230433400000.0,1489190900000.0,3722516700000.0,1489190900000.0,1492083300000.0,3722516700000.0,1496767400000.0,4684100000.0,1492083300000.0,8011300000.0,,,6168000000.0,6168000000.0,12856607900000.0,2230433400000.0,,,,14353375300000.0,3091119200000.0,3091119200000.0,,,,2892400000.0,2892400000.0,56338000000.0,,,,,,,,904154300000.0,,559324400000.0,2023-12-31,,
,3081760824.0,3081760824.0,1395101300000.0,2098508900000.0,1421021700000.0,3522423000000.0,1421021700000.0,1423914100000.0,3522423000000.0,1428319800000.0,4405700000.0,1423914100000.0,6869200000.0,,,6163500000.0,6163500000.0,12306371900000.0,2098508900000.0,,,,13734691700000.0,2955403700000.0,2955403700000.0,,,,2892400000.0,2892400000.0,53588500000.0,,,,,,,,703407600000.0,,528932500000.0,2023-09-30,,
,3079738904.0,3079738904.0,1086911800000.0,1938518200000.0,1358830400000.0,3300241000000.0,1358830400000.0,1361722800000.0,3300241000000.0,1365874100000.0,4151300000.0,1361722800000.0,5666500000.0,,,6159500000.0,6159500000.0,11946174900000.0,1938518200000.0,,,,13312049000000.0,2851857700000.0,2851857700000.0,,,,2892400000.0,2892400000.0,51821400000.0,,,,,,,,851606400000.0,,626869900000.0,2023-06-30,,
,3076852012.0,3076852012.0,591724400000.0,1984445700000.0,1291239300000.0,3282262800000.0,1291239300000.0,1297817100000.0,3282262800000.0,1301751000000.0,3933900000.0,1297817100000.0,4260900000.0,477692500000.0,519357800000.0,6153700000.0,6153700000.0,12142428600000.0,1984445700000.0,136417600000.0,95438100000.0,40979500000.0,13444179600000.0,2026469400000.0,2021517400000.0,30458400000.0,4952000000.0,4952000000.0,6577800000.0,6577800000.0,48525800000.0,-196067100000.0,244592900000.0,1421400000.0,226535600000.0,16635900000.0,7488700000.0,287089600000.0,1392721300000.0,217983400000.0,96658800000.0,2023-03-31,,
0.0,3090246466.0,3090246466.0,1136234800000.0,2240367100000.0,1646498200000.0,3889757700000.0,1646498200000.0,1649390600000.0,3889757700000.0,1654692000000.0,5301400000.0,1649390600000.0,9392300000.0,,,6180500000.0,6180500000.0,13480063100000.0,2240367100000.0,,,,15134755100000.0,3173772800000.0,3173772800000.0,,,,2892400000.0,2892400000.0,60090600000.0,,,,,,,,1104132300000.0,,632904500000.0,2024-06-30 00:00:00,,
,3093254378.0,3093254378.0,1359981500000.0,2252174600000.0,1721327600000.0,3976394600000.0,1721327600000.0,1724220000000.0,3976394600000.0,1729865500000.0,5645500000.0,1724220000000.0,10193800000.0,,,6186500000.0,6186500000.0,13792358500000.0,2252174600000.0,,,,15522224000000.0,3495702000000.0,3495702000000.0,,,,2892400000.0,2892400000.0,61043800000.0,,,,,,,,892193100000.0,,621182000000.0,2024-09-30 00:00:00,,892193100000.0
